B: 	deze 
B: 	een soort van omgekeerde kegel bovenop dus eigenlijk zo'n vorm 
B: 	en even kijken een bolle zitten ertegenaan plakken aan de voorkant iets veel naar de rechterzijde 
B: 	en bovenop hebben het trouwens nog een staaf dus het staaf en die omgekeerde kegel dan dat bolle aan de rechterkant 
B: 	en dan een soort van zo'n vorm tegen de mok aangeplakt aan de linkerkant 
B: 	een soort van opengeslagen boek zitten zo tegen de linkerkant 
B: 	hebben ver geen plateau 
A: 	even kijken hoor 
A: 	aan de linkerkant een soort boek 
A: 	zitten daar een soort lepel erin 
A: 	of wat 
B: 	ja zo ja niet helemaal het zijn een soort van 
B: 	de vorm bovenop zijn zo 
B: 	dus eindigen op zo'n rond 
A: 	aan de bovenzijde van de beker laten maar zeggen 
B: 	ja 
B: 	en dan daar rechts van zijn gewoon ook aan de bovenzijde van de beker zijn een balk 
B: 	en dan rechtsvoor aan de voorkant zitten een soort van bol gewoon tegenaan plakken 
A: 	wachten even zeggen maar zo'n soort ding aan de bovenzijde 
A: 	soort vulkaanachtig iets 
B: 	nee nee nee 
B: 	nee het zijn echt een soort van kegel eigenlijk alleen dan omgekeerd 
B: 	die eindigen op een soort van bolle maar nu zijn dat bolle daaronder 
A: 	ik zien het niet 
B: 	misschien het hebben niet heel veel ding uitsteken vergelijken met de rest 
B: 	het hebben geen plateau 
B: 	misschien focussen op dat linker uitsteeksel 
A: 	ja hoe zien er het linker uitsteeksel eruit 
B: 	een beetje alsof je een boek hebben opengeslagen zo en dan ertegenaan zetten 
B: 	het zijn niet helemaal een een dicht balk 
B: 	of trouwens misschien kunnen je het ook wel zien als een als een driehoek 
B: 	of ja een maar dan maar dan lang 
B: 	een balk in de vorm van een driehoek 
A: 	wat aan de linkerzijde zitten 
B: 	ja 
A: 	even kijken 
B: 	maar niet heel groot 
A: 	een driehoek aan de linkerzijde 
B: 	en het hebben twee ding bovenop 
A: 	het hebben niet zo'n soort antenne dat zijn niet wat je bedoelen 
B: 	nee 
A: 	en het hebben ook niet aan de onderzijde zo'n soort stroomp wat 
B: 	nee 
B: 	hebben helemaal niks aan de onderzijde 
A: 	je bedoelen met dat opengeslagen boek zeggen maar dat dat zeggen maar dat handvaa van de linkerkant zijn 
B: 	ja 
A: 	zitten daar een soort ei daar rechts van 
B: 	ja 
A: 	en dan lijken het een soort kwast en daarnaast nog een staaf 
A: 	wat daarin zitten 
B: 	ja 
B: 	ja 
A: 	okee ik zullen het even herhalen voor de duidelijkheid 
B: 	ja nee nee het kloppen wel 
A: 	een beker met aan de rechterzijde een ei het opengeslagen boek links een soort roerstaafje daarin en daarnaast ook nog een streep erin 
B: 	ja 
B: 	ja 
A: 	okee dan zijn het nummer vier 
A: 	dit zijn zeggen maar met zo'n soort mooi kwast erin 
A: 	en dan daarnaast ook nog een staaf erin met een ei aan de rechterzijde 
A: 	en met dat opengeslagen boek link 
B: 	ja 
B: 	ja dat zijn i 
B: 	dit zijn met een ei aan de rechterkant 
B: 	opengeslagen boek aan de linkerkant 
B: 	een soort van kwast en een balk erin 
A: 	ja dat zijn nummer vijf 
A: 	ei aan de rechterzijde 
A: 	soort mooi kwast in het beker staaf erin en opengeslagen boek 
B: 	ja 
B: 	dat zijn e 
A: 	link 
B: 	een mooi kwast een staaf ei aan de rechterkant een opengeslagen boek aan de linkerkant 
A: 	ja nummer acht 
A: 	mooi kwast met een staaf ernaast ei rechts en opengeslagen boek link 
B: 	ja 
B: 	dat zijn e 
