B: 	oké dit zijn ja er staan twee ding bovenop 
B: 	één zijn een beetje dat zijn gewoon een rechthoek 
B: 	en de ander zijn een beetje ja een handvat zeggen maar 
A: 	ja 
B: 	en aan de zijkant één hebben zo'n dik bol 
B: 	en aan de ander kant zijn een soort driehoek 
B: 	ja die staan dan zeggen maar in een kwart van elkaar 
A: 	te kijken hoor 
B: 	en er staan ver niks 
A: 	nog één keer want dan hebben ik het even goed want volgens mij hebben ik die een 
B: 	ja 
A: 	natuurlijk het zijn een een kom of een schaal wat het ook precies zijn 
B: 	ja 
A: 	en wat zitten daarboven zeggen je 
B: 	staan één rechthoek en één soort ja wat zullen het zijn ? handvat cilinderachtig 
A: 	ja 
B: 	en dan aan de zijkant aan de een zijkant ja dan zijn dat volgens mij links staan zijn een handvat van een driehoek 
B: 	en aan de ander ja en een kwartslag ver zijn zeggen maar een rond ding ja we kunnen het zien als een neus maar ik weten niet 
A: 	oeh die zien ik dan niet 
A: 	ja een beetje inderdaad een neus aan de ander kant zeggen maar zo'n een beetje een een blokachtig die 
B: 	ja ja 
A: 	ja en boven dat lopen een beetje zo 
B: 	ja ja 
A: 	en ja ik zien het 
B: 	ja 
A: 	veertien 
A: 	dit zijn die met die groot toeterneus die Ronde toeterneus een beetje 
A: 	en die hebben boven hebben die twee uitsteeksel één recht blok en één zo'n kringelding 
B: 	ja 
B: 	en aan de zijkant ook nog 
A: 	ja aan de zijkant ook nog 
B: 	dat zijn N 
B: 	ja wat zijn deze ? dat zijn die neus met die twee ding erbovenop 
A: 	even kijken neus met die twee ding 
B: 	niet dat niet die neuspiercing maar die ander 
A: 	met die twee verschillend ding één zo'n een rechthoekachtig een een lat 
B: 	ja 
A: 	en de ander zijn veel een weten ik veel een toverstaf of iets wat het ook precies zijn iets geks 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	en dan opsteken er nog iets uit aan de zijkant 
B: 	ja 
A: 	ja 
A: 	negen 
A: 	dit zijn ik weten eerlijk zeggen niet veel hoe we hem omschrijven 
A: 	met die lijken wel een groot neus 
A: 	zeggen maar een beetje een eierneus 
B: 	ja 
A: 	en dan twee dinge die eruit steken 
B: 	ja dat zijn G 
B: 	dit zijn de gewoon neus 
A: 	sorry nog één keer welk zijn het 
B: 	de gewoon neus 
A: 	de 
A: 	gewoon neus 
B: 	met die twee uitsteeksel 
A: 	ja ik zitten even te kijken waar zijn die 
A: 	ja kloppen ja 
A: 	die die eierneus bedoelen je toch 
B: 	ja ja 
A: 	ja 
A: 	vijf 
A: 	ook omdat ik hem niet kunnen vinden zijn het eventjes 
B: 	dat zijn best wel 
A: 	ik denken misschien hebben ze hem verstoppen dat ze één eruit hebben laten 
B: 	ja 
B: 	dat zullen echt gemeen 
A: 	dit zijn de de groot neus de Eierneus 
B: 	ah ja 
B: 	dat zijn J 
