A: 	deze hebben ook weer meerdere uitsteeksel je hebben dat komme 
A: 	en dan zitten er eigenlijk achterop zitten een soort hoofd in een ruitvorm 
A: 	en die hebben weer twee uitsteeksel 
B: 	ja 
A: 	zo weer traps toelopen 
A: 	dan hebben die aan de onderkant nog een uitsteeksel en aan de zijkant 
A: 	en één naar voren toe 
B: 	oké 
B: 	dat zijn M 
B: 	dit zijn dat heel raar figuur 
B: 	dit zijn dat komme en dan daarboven zitten een soort van rechthoekig vierkant 
B: 	kunnen dat 
B: 	met twee van die stulpsel zeggen maar dat dat vierkant steeds klein worden en daaronder zo'n soort van balk eronder 
A: 	ja 
A: 	ja één zo en één zo 
B: 	ja 
A: 	ja 
A: 	en dan nog met een navelstreng eigenlijk eruit dat zijn nummer negen bij mij 
B: 	ja 
A: 	dit zijn dat poppe met ja die ruit achter op het hoofd en die twee 
A: 	traps toewijzen toelopen blok 
A: 	en aan de anderkant nog die tentakelzijkant en dan die navelstreng nog 
B: 	ja 
B: 	dit zijn H 
B: 	dit zijn die raar met dat slurf onder neusje naar voren en dat raamp bovenop 
B: 	met die twee uit 
A: 	met die twee ja 
B: 	ja 
A: 	en dan ook nog die een extra aan de zijkant 
A: 	dat zijn nummer elf 
A: 	dit zijn ja dat raar poppe met die navelstreng van onderen 
A: 	en van de zijkant tentakel en dat ruitvorm 
B: 	dat zijn D 
A: 	op het achterhoofd 
B: 	dit zijn met dat ruit boven op zijn hoofd 
B: 	met die vierkant die steeds klein worden en die slurf onder 
A: 	en dan nog 
B: 	één naar voren en dat armp 
A: 	ja 
A: 	dat zijn nummer veertien 
