A: 	deze hebben zeggen maar twee vierkant bovenop naast elkaar met een staaf erdoorheen een vierkant staaf erdoorheen 
A: 	en dan daaronder zeggen maar nog zo'n kromm rechthoek zo'n komma zeggen maar 
B: 	wachten wachten even 
B: 	even kijken deze 
A: 	bovenop zitten een heel speciaal vorm met met twee twee vierkant 
B: 	gaan die door elkaar heen 
B: 	gaan die door elkaar zijn het een een rechthoek wat in het midden staan waarbij dus dat die twee object met elkaar verbinden 
A: 	ja 
B: 	en aan de onderkant hebben je zo'n staaf die eraf lopen 
A: 	ja 
B: 	en aan de zijkant hebben je nog een een kegel en nog een ander blokachtig ding 
A: 	ja kloppen 
B: 	okee ja 
B: 	dat zijn b 
B: 	deze wel zijn ja die hebben een een blok aan de onderkant 
B: 	een een wat ja wat aflopen blok aan de onderkant 
A: 	ja 
B: 	en aan de bovenkant een een rechthoek met die die erdoorheen gaan laten maar zeggen 
A: 	ja 
B: 	dus je hebben een een een een blok en daar hebben je dus dat dat rechthoek wat of dat vierkant wat schuin staan 
B: 	en dan aan de achterkant lopen hij 
B: 	die zijn best wel shit om uit te aanleggen 
A: 	wachten doen nog eens 
B: 	terwijl we hebben de rest 
B: 	aan de voorkant steken dan ook best zo'n kegel uit 
B: 	zijn dan een kegel en 
A: 	ja 
B: 	zien zien je dan wat ik bedoelen 
B: 	weten je in ieder geval letlen op de bovenkant want de bovenkanot zijn allemaal anders 
A: 	ja 
B: 	dus als je op die bovenkant letlen met die met die met dat 
A: 	wat zitten er op de bovenkant 
B: 	een schuin vierkant waarbij dus een een een een een een soort van kubus doorheen opsteken 
B: 	waarbij je dus aan de een kant een een stuk hebben en aan de ander kant steken het eruit 
B: 	en aan de onderkant hebben je één 
A: 	ik weten al wat je bedoelen aan de onderkant zitten zo'n schef 
B: 	een 
B: 	ja ja ja 
B: 	hoe hoe leggen we die dadelijk makkelijk uit 
B: 	want dan dan 
A: 	zeggen maar gewoon een vierkant wat zo staan en daar gaan gewoon zo'n staaf doorheen 
B: 	ja 
B: 	ja ja ja 
A: 	ja en dan zo'n soort van kommavorm daar aan de onderkant 
B: 	ja 
B: 	ja 
A: 	ja dat dat zijn vier 
B: 	precies 
A: 	dit zijn met die twee vierkant die rechtop staan bovenop met zo'n aflopen rechthoek een 
A: 	bovenop het ding 
A: 	en dan nog zo'n kromming daaronder 
B: 	okee Ja ja okee ja ja ja ja 
A: 	ja die 
B: 	en aan de zijkant hebben je ook nog zo'n zo'n ding lopen 
A: 	ja zo 
B: 	ja ja dat zijn m 
A: 	ja 
B: 	ja ik kijken er echt finaal overheen 
B: 	ja dit zijn dat dat dat Schuine vierkant met die met dat ding met die die kubus erdoorheen 
B: 	of dat aflopen vierkant 
B: 	dat driedimensionaal vierkant erdoorheen 
B: 	waarbij aan de onderkant een soort van kromme komma zijn 
A: 	ja 
A: 	met dat vierkantje waar dat ding doorheen gaan 
B: 	ja 
A: 	ja 
B: 	ja 
A: 	dat zijn dertien 
B: 	ja 
A: 	dit zijn weer die twee vierkant waar die aflopen rechthoek doorheen gaan met zo'n kromm vorm aan de onderkant 
B: 	ja ja ja dat Schuine vierkant 
A: 	ja 
B: 	ja 
B: 	okee dat zijn b 
B: 	dit zijn dat Schuine vierkant met die dat aflopen die aflopen blok 
B: 	en aan de onderkant die komma 
A: 	ja 
A: 	zestien 
