A: 	ik hebben voor jou een koffiebeker met een 
A: 	uitsteeksel aan de onderkant en twee aan de zijkant 
A: 	en aan de bovenkant aan de rand steken een vierkant biscuit zullen ik maar noemen 
A: 	met twee blok die daarin wat groot worden steken aan beide kant van het biscuit uit 
A: 	en één van even de voorkantuitsteeksel zijn ook een beetje cilinderachtig en aan de 
A: 	rechts zijkant zijn een staaf die een haaks bocht lijken te hebben 
A: 	of in ieder geval een getrapte bocht 
B: 	wachten ik hebben even een ander in mijn hoofd 
A: 	net als de 
A: 	zien jij een koffiebekren met 
B: 	ja ik zien genoeg koffiebeker 
A: 	zestien stuk 
A: 	met het biscuit staan zeggen maar rechtop schuin ja als een ruitvorm 
B: 	staan die daaraan vast of staan die 
A: 	op een beetje op de bovenste rand 
B: 	ja 
A: 	iets aan de achterkant 
B: 	ja 
B: 	en aan dat biscuit zitten een stuk vast 
A: 	zitten twee uitsteeksel 
B: 	twee 
A: 	oké 
A: 	even kijken waar je 
B: 	aan het biscuit zitten twee uitsteeksel 
A: 	ja 
B: 	het zijn een vierkant biscui 
A: 	ja en die staan rechtop 
A: 	als een soort ruitvorm 
B: 	ja 
A: 	op de rand 
B: 	ja 
B: 	inderdaad 
A: 	ja ? mee 
B: 	als een ruit ja 
A: 	oké 
B: 	en dan zitten er zitten er inderdaad drie uitsteeksel aan het kop 
A: 	één aan de onderkant 
B: 	en 
B: 	ja 
B: 	één aan de 
A: 	en twee aan de zijkant 
B: 	twee aan de rechterkant 
A: 	ja 
B: 	ja 
B: 	dat zijn letter M 
B: 	dit zijn het koffiekopje met enorm veel uitsteeksel en er staan een ruitvormig uitsteeksel bovenop met twee uitsteeksel daaraan vast 
B: 	die het waarvan het lijken dat die door dat ruitvormig ding heen gaan 
A: 	ik noemen die net het biscuit 
B: 	ja die noemen jij net het biscuit 
A: 	oké met onderin dat en twee aan de zijkant en dan boven dat gedoe 
B: 	ja 
B: 	ja 
B: 	dat zijn hem 
A: 	dat zijn nummer negen 
A: 	koffiekopje met een rechtopstaand biscuit bovenaan in ruitvorm met 
A: 	de robotarom die eruit komen 
B: 	nee nee ja ja 
B: 	dat zijn hem 
B: 	letter H 
B: 	dit zijn dat kop met die one ruitvormig koek erin 
B: 	met de twee robotarom eruit steken 
A: 	ja hebbes 
B: 	ja 
A: 	en nog drie uitsteeksel 
B: 	en drie ander uitsteeksel 
A: 	ja 
A: 	dat zijn nummer elf 
A: 	biscuit met robotarmp eruit 
B: 	ja ja 
A: 	en nog drie uitsteeksel 
B: 	letter D 
B: 	ja dat koffiekopje met dat ruiten koekje met die robotarom erdoorheen 
B: 	en die drie uitsteeksel 
A: 	hebbes 
A: 	nummer veertien 
