A: 	ik hebben er nu eigenlijk één met twee soort uithangbordjes aan de rechterkant 
A: 	en zo'n soort ja het zijn eigenlijk gewoon twee bord boven elkaar lijken het wel 
A: 	en erop staan ook nog zo'n soort hoe noemen je dat ? zo'n soort 
A: 	ja zo'n vierhoek zo'n ja het lijken een soort lampenkop ik weten niet hoe je dat zeggen 
A: 	maar het zijn echt twee bord aan de rechterkant die er hangen en nog zo'n 
A: 	staaf een beetje linksonder en één in het midden links 
B: 	moeten ik even goed kijken 
B: 	wachten ik denken dat ik dus je hebben inderdaad dan echt gewoon twee staf die uitsteken aan de rechterkant en dan 
A: 	en aan de linkerkant zo'n nog zo'n zo'n dinge en daarbovenop zo'n soort lampenkop of ik weten niet hoe je dat uitleggen 
B: 	nog één ja 
B: 	en dan inderdaad rechtsonder hebben je nog een soort van staart zitten zeggen maar 
A: 	ja 
B: 	oké dat zijn bij mij dan I 
B: 	ik hebben nu die een met aan de rechterkant weer twee van die staaf zeggen maar 
B: 	en dan aan de bovenkant zijn hebben je weer die lampenkap zeggen maar 
A: 	ja 
B: 	en dan aan de eronder dan ook weer zo'n staart zeggen maar en dan nog aan de 
A: 	ja die 
A: 	en in het midden nog zo'n dinge aan de link 
B: 	ja 
A: 	ja 
A: 	bij mij nummer twee 
A: 	ik hebben nu met die uithangbord noemen ik net met zo'n lampenkop erop 
A: 	bij mij staan die link onderin ongeveer ik weten niet of die bij jou ook daar ook staan 
B: 	even kijken 
A: 	zo'n staaf eronder 
B: 	met die uithangbordje 
A: 	ja die twee bord aan de rechterkant 
B: 	die en weer dat dat staart zeggen maar ook 
A: 	ja die staart aan de ander kant aan de linkerkant inderdaad eronder 
B: 	ja oké 
B: 	dat zijn bij mij M 
B: 	nou hebben we weer die twee uithangbordjes met die lampenkap erbovenop en dat staart zeggen maar aan de linkerkant 
A: 	ja 
A: 	ja 
A: 	nummer negen zijn dat bij mij 
A: 	ik hebben nu die een met die of ja noemen ik net zo met die lampenkap erboven staan bij mij ongeveer midden 
B: 	met die 
B: 	ja 
B: 	bij mij zijn dat F 
B: 	die twee uithangborde en die lampenkap aan de bovenkant zeggen maar 
A: 	ja 
A: 	nummer zes zijn dat bij mij 
