B: 	ja 
B: 	dit zijn dit zijn eigenlijk de hier lijken het net of er een tafel doorheen zitten 
B: 	met een bak erbovenop 
A: 	en nog zo'n klein friemel erachter 
B: 	ja 
B: 	zo'n kuifje ja 
A: 	ja ik zien het 
A: 	zestien 
A: 	dit zijn ik omschrijven hem zelf een beetje als een een bloempot 
A: 	dat die die op een schap zitten en dan zeggen maar zo'n bloempot die er half zo eruit 
B: 	bloempot 
B: 	even kijken 
A: 	dus zeggen maar het lijken een beetje op een schap waar een bloempot in vangen 
A: 	of in vallen 
B: 	ja er staan twee punt streepjes 
A: 	even kijken wat je ander nou die bloempot hebben dus zeggen maar een schap 
A: 	en hij steken nog zelf steken die een klein beetje uit 
A: 	en daar zitten een klein friebel en daarachter zitten nog een blok achter 
B: 	zullen ik 
A: 	en die schap zelf gaan dwars door die pot heen en die steken ook nog een beetje twee zo naar beneden uit 
A: 	dus ik kunnen het een beetje als een soort van als een ja eigenlijk zo'n ja het zijn moeilijk te omschrijven anders 
B: 	het zijn niet die cactus nee 
A: 	nee ik weten welk je bedoelen 
B: 	dat het zijn gewoon dat er een soort plank in het midden 
A: 	nou het plank zijn uitgaan er dwars doorheen 
B: 	die ah ik zien het volgens mij al 
A: 	en zijn een klein stuk boven houden je dan nog over en daar zitten dan twee van die 
B: 	een klein stuk 
B: 	ja ja ja 
B: 	dat zijn P 
B: 	ja wat zeggen je die plantenbak met dat ding er 
A: 	ja kloppen 
B: 	ja 
A: 	even kijken waar zijn die 
A: 	ja met die schap en die plantenbak een beetje eronder 
B: 	ja ja ja 
A: 	ja veertien 
A: 	de plantenbak 
B: 	plantenbak 
B: 	moeten ik even kijken waar die staan 
B: 	ah dat zijn N 
B: 	ja dit zijn die plantenbak 
A: 	plantenbak ja 
A: 	tien 
A: 	de bloempot 
B: 	de bloempot 
B: 	oké 
B: 	ah ja 
B: 	d 
