A: 	ja deze hebben eigenlijk gewoon een kop zonder ver iets er aan op de voorgrond 
A: 	en daarachter liggen een soort staaf met twee van die bollet aan het einde dat lijken alsof hij er helemaal achterlang lopen 
A: 	met een soort schuin vlak erachter met achter het schuin vlak weer zo'n ding naar beneden 
B: 	ja 
B: 	ik noemen het een schans 
B: 	kloppen dat 
A: 	een schans ja ja ja 
B: 	ok 
A: 	ja 
B: 	en dat ding dat lopen door lijken het 
A: 	ja maar dan niet net niet niet helemaal recht alsof hij echt zo'n hoek maken achter de 
B: 	ja 
B: 	nee ja hij zijn wel een beetje scheef 
B: 	kloppen 
B: 	okan dan zijn het K 
A: 	ok 
B: 	dit zijn weer met die soort spijker door het heel kop heen met die schans 
A: 	ja ja ja dat zijn nummer negen 
A: 	ja dit zijn met die doorlopen spijkerachtig dat achterlangs lopen met zo'n knik erachter en die schans 
B: 	ja dat zijn voor mij F 
B: 	dit zijn die spijker die door het heel kop heen gaan en met die schans 
A: 	ja even zoeken waar die staan dat zijn nummer drie 
A: 	dit zijn weer met die spijker die er achterlangs helemaal doorheen lopen en de schans 
B: 	ja dat zijn voor mij L 
B: 	dit zijn met die spijker er doorheen en die schans 
A: 	ja dat zijn nummer vijf 
