B: 	ja dit doen me een beetje denken aan een soort ja het zijn een horizontaal plaat die ook die een beetje aan de bovenkant door die emmer opsteken en dan hebben je twee poot die zo 
A: 	ja negen 
B: 	ja 
A: 	deze hebben dat dat vierkant erdoorheen met die twee poot 
B: 	ja even kijken dat zijn k 
B: 	de de tafel met de poot door de emmer heen 
A: 	ja 
A: 	vijf 
A: 	dit zijn die met het vierkant met die poo 
B: 	okee l 
A: 	erdoorheen 
B: 	dit zijn de tafel 
B: 	door de beker heen 
A: 	met de poo 
B: 	ja 
A: 	vijf 
A: 	dit zijn het tafel met poot 
B: 	ja even kijken 
B: 	o 
