A: 	oké deze hebben aan de zijkant twee rechthoekig uitstulping die iets van mekaar af staan 
A: 	aan de bovenkant inderdaad een soort van lampenkap 
B: 	ja 
A: 	erop en aan de linkerkant zitten onderaan een een uitsteeksel en in het midden ongeveer ook nog een een klein uitsteeksel 
B: 	ik zien het het zijn I 
A: 	oké 
B: 	ik hebben hem 
A: 	yes 
A: 	dan moeten je nog even op het knop drukken 
B: 	ja 
B: 	nou ja dit zijn weer die een met de lampenkap erop en die twee cilinder die eruit steken aan de rechterkant 
A: 	cilinder of rechthoeak 
B: 	rechthoeak correctie 
A: 	ja oké en aan de linkerkant steken ook nog twee ding uit 
B: 	ja 
B: 	ja ja 
A: 	ja oké dat zijn twee voor mij 
B: 	ja 
A: 	oké deze hebben de omgekeerde lampenkap erbovenop en de de rechthoeak aan de twee rechthoeak aan de rechterkant 
B: 	ja 
A: 	en die twee ander ding links 
B: 	ja M 
A: 	ja 
B: 	dit zijn de lampenkap met de twee balk eruit 
A: 	even kijken 
A: 	de even kijken hoor 
A: 	ja en dan links ook die ding 
B: 	ja ja ja ja 
A: 	ja oké dat zijn negen 
A: 	ik moeten hem even zoeken waar die staan 
B: 	oké 
A: 	oké omgekeerde lampenkap erop 
A: 	met de met de twee rechthoeak rechts en de twee dinget 
B: 	F 
B: 	het zijn de lampenkap met de twee balk 
A: 	even kijken 
A: 	ja 
A: 	dat zijn dat zijn zes 
