A: 	ik hebben aan de rechterkant een uitsteeksel wat balkvormig zijn en aan de aan de daarna of aan de uiteinde een soort bol 
A: 	die zijn aan de linkerkant ook al dan zijn hij korter 
A: 	en achterop staan nog een ja een soort plaat staan daar schuin op monteren 
A: 	die staan aan de achterkant aan de link achterkant 
B: 	ja ja dat zijn ja ik weten hem 
B: 	j 
B: 	ik hebben een soort van zonnepaneel aan de achterkant weten je wel 
A: 	ja 
B: 	en een staaf aan de rechterkant en een gelijkwaardig staaf die wat kort en dikk zijn aan de linkerkant 
A: 	ja 
A: 	tien 
A: 	ik hebben die twee die dat zonnepaneel 
B: 	zonnepaneel zijn het ja f 
B: 	f 
B: 	okee ik hebben dat zonnepaneel aan de achterkant en die twee staven links en rechts 
A: 	ja 
A: 	even zoeken vijfteen 
A: 	ik hebben die een met het zonnepaneel 
B: 	zonnepaneel 
B: 	h 
B: 	ja f god 
B: 	de zonnepaneel aan de achterkant 
A: 	ja 
A: 	een 
