A: 	deze hebben een dinge aan de onderkant met een knik erin 
B: 	hebben die bovenop een soort ja of vierkant maar dan kantelen 
A: 	met dinge met ding erdoorheen 
B: 	ja met die blok weer in elkaar 
A: 	ja 
A: 	ja ja 
B: 	oké dan zijn het M 
B: 	deze hebben zo'n dinge daaronder met een knik 
B: 	en ja zo'n vierkant dat een beetje 
A: 	ja alleen het dinge met knik ver niks aan de onderkant toch 
B: 	nee ja kloppen 
A: 	oké dat zijn bij mij negen 
A: 	deze hebben dat onderkan met die knik erin 
B: 	even zoeken 
B: 	dat zijn bij mij H 
B: 	deze zijn weer met dat dinge eronder zo 
A: 	met het dinge eronder ja dat zijn bij mij elf 
A: 	dit zijn die met het dinge eronder met zo'n knik erin 
B: 	dat zijn bij mij d 
B: 	met dat knik onderaan 
A: 	met het knik onderaan 
A: 	ja dat zijn nummer veertien 
