B: 	ha ik hebben het rood vierkant 
A: 	oké nou vertel 
B: 	hij lijken een beetje op Pinokkio 
B: 	met zo'n 
A: 	met een lang neus 
B: 	ja 
A: 	oké 
A: 	hebben die twee van die ding op zijn op zijn 
B: 	nee die ander 
B: 	met een soort lepel in als het een kop zijn hebben die een lepel aan de rechterkant 
A: 	hebben die zo'n rond ding aan de zijkant van zijn hoofd 
B: 	ja 
A: 	ja 
A: 	nummer dertien 
B: 	oké volgens mij moeten je op de knop drukken dan 
A: 	deze 
A: 	dit zijn jouw Pinokkio 
B: 	ah 
A: 	met dat dinge erop en dat rond ja 
B: 	ja ja ja 
B: 	O 
B: 	one's Pinokkio noemen ik deze 
A: 	ja die hebben ik vinden 
A: 	Pinokkio 
B: 	Pinokkio 
B: 	C 
B: 	Pinokkio 
A: 	even zoeken ja nummer zeven 
B: 	met zo'n rond dinge 
A: 	ja 
A: 	Pinokkio 
B: 	C 
B: 	dat zijn hem 
B: 	hallo 
