A: 	dit zijn een mok met zo'n schuin vierkant linksboven en dan rechts en link uitsteeksel met een rond uiteinde 
B: 	hebben hij 
B: 	zijn dat dezelfde uitsteeksel aan beide kant maar de één iets lang 
A: 	ja 
A: 	ja 
B: 	okee dat zijn f 
A: 	rechts zijn rechts zijn iets lang 
B: 	f 
B: 	deze hebben twee dezelfde uitsteeksel maar rechts zijn iets lang dan links 
A: 	twee 
A: 	uitsteeksel links en rechts identiek rechts lang 
B: 	waar staan die 
B: 	ik weten welk het zijn 
B: 	a 
B: 	de twee dezelfde waarvan rechts lang zijn dan links 
A: 	vier 
A: 	link rechts rechts lang 
A: 	handvat 
B: 	p 
B: 	twee dezelfde rechts zijn lang dan links 
A: 	dertien 
