A: 	deze hebben twee ruit bovenop waar een 
A: 	vierkant staaf doorheen gaan 
B: 	ja 
A: 	en aan de onderkant hebben die een soort ja zwanenhals 
B: 	ja ik zien hem 
B: 	ja ik ik zien hem 
B: 	ja ook weer van die blok die steeds groot worden erbovenop 
A: 	ja 
B: 	ja 
B: 	even kijken een beetje verwarren met die letter hoe ze staan en dat zijn dan voor mij M 
B: 	even kijken we hebben het nu over de het figuurt met de twee plat driehoekjes boven aan de achterkant met die twee groot worden 
B: 	vierkant die eruit komen steken 
A: 	ja 
A: 	ik hebben hem 
B: 	het haak aan de onderkant 
A: 	dat zijn negen voor mij 
A: 	dit zijn die met de ruit erbovenop die doorboren worden door de groot worden vierkant 
B: 	ja 
B: 	daar ja 
B: 	ja 
B: 	dat zijn voor mij H 
B: 	dit zijn weer de dubbel driehoek aan de bovenkant met links en rechts de vierkant 
A: 	yes 
A: 	dat zijn elf voor mij 
A: 	dit zijn die met de ruit erbovenop die doorboren worden door die groot worden vierkant 
B: 	d 
B: 	linksonder in het vak ja dit zijn met die twee driehoek en de groot worden vierkant link en rechts 
A: 	even ja dat zijn veertien voor mij 
