B: 	okee ja wat wat zien jij 
B: 	ik ik moeten jij hebben geen vak okee dus ik moeten uitleggen 
A: 	ik hebben geen rood vak dus jij moeten uitleggen welk het zijn 
B: 	okee ik zien een een soort van schotel aan de achterkant 
B: 	en bovenop zien ik een ja een even aan de zijkant zitten zo'n zo'n draaiding 
B: 	weten je wel zo'n zo'n 
A: 	ja 
B: 	ja 
A: 	zitten een schotel aan de achterkant 
B: 	er zitten een schotel aan de achterkant ja dat zijn van dat zijn 
A: 	en die die staan rechtop zeggen maar 
B: 	ja precies 
A: 	ah okee en dan zo'n zo'n zo'n zo'n kegel rechtsboven ook 
B: 	zo er staan nog iets bovenop 
B: 	kegel bovenop 
A: 	okee 
B: 	precies en aan de zijkant zo'n dinge 
A: 	ja dat weten ik wat het het zijn vier 
B: 	ja 
B: 	okee 
A: 	okee vier 
A: 	deze volgens mij gaan we nu weer opnieuw toch 
A: 	deze hebben weer zo'n zo'n cirkel aan de achterkant 
A: 	verticaal rechtstaand 
A: 	zo'n cirkel 
A: 	dan rechtsboven zo'n kegel zo'n speen 
A: 	en dan links opsteken er een cilinder uit 
B: 	ja ja ja okee dus dus that's it toch ? er zitten voor de rest 
A: 	ja dat zijn het 
B: 	ja ja nogmaals zo'n soort van een een soort van bakje-achtig bedoeling 
B: 	soort van 
A: 	ja 
B: 	ja ja ja okee en aan de zijkant 
A: 	de cirkel aan de achterkant 
B: 	ja 
B: 	zo'n half cirkel aan de achterkant 
A: 	ja 
A: 	en dan rechts ja een half cirkel zeggen maar 
B: 	ja ja en zo'n kegel die staan echt die staan echt een 
A: 	zo rechtsboven erop ja 
B: 	ja 
A: 	en dan links opsteken er een cilinder uit 
B: 	ja precies 
B: 	okee dat zijn h 
B: 	deze hebben een een een staand bak aan de achterkant 
B: 	en aan de voorkant staan een een bijna vallend kegel 
B: 	en aan de aan de zijkant zo'n zo'n ja een een een een cilinder ook 
B: 	aan de linkerzijkant 
B: 	linkerzijkant een cilinder 
A: 	ja 
B: 	aan de achterkant een een bak 
A: 	okee 
B: 	ja dat zijn soms even zuur om om te zoeken 
A: 	wachten 
A: 	wachten welk zijn het 
A: 	die op dat standaard staan bedoelen je 
B: 	ja nou ja ja echt een klein verhoging daar staan hij op inderdaad 
A: 	ja 
B: 	ja en dan een 
A: 	en dan dat blok wat er bijna af vallen 
B: 	nee nee ik bedoelen die er vallen bijna een een een één 
B: 	wachten aan de let leggen letten op die achterkant 
A: 	ja 
B: 	daar daar zien je een half een half cirkel een een soort bak 
B: 	en aan de zijkant hebben je zo'n zo'n aan de linkerzijkant zo'n cilinder 
A: 	je bedoelen die gewoon met die met die cirkel aan de achterkant 
B: 	ja 
B: 	ja ja dat zijn misschien makkelijk om dat 
A: 	ja 
A: 	twaalf 
A: 	dit zijn met dat half cirkel aan de achterkant en dan dat kegel rechts erbovenop 
B: 	ja ja ja precies en aan de zijkant nog zo'n 
A: 	ja 
B: 	ja 
B: 	dat zijn l 
B: 	dit zijn de met het bak aan de achterkant 
B: 	en die kegel aan de voorkant tot het bijna vallen 
B: 	en aan de zijkant hebben je een een cilinder en hij staan op een verhoginkje 
A: 	ah die half cirkel achterop 
B: 	ja 
B: 	ja 
A: 	twaalf 
A: 	dit zijn met die half half cirkel achterop en dan nog die cilinder aan de zijkant 
A: 	die op dat verhoginkje staan 
B: 	ja ja n 
