A: 	oké 
A: 	ja dit zijn een dat beker staan op een een rechthoekig statief zeggen maar 
A: 	ik hebben het bij die ander als waterpomp omschrijven ik weten niet of dat ja even je hebben er nog één ander die erop lijken 
A: 	ja je hebben er één een ander die erop lijken maar die staan op een driehoek dat zijn hem niet 
A: 	en je hebben er één met een soort van tuitje dat zijn hem ook niet 
B: 	ja 
B: 	hij hebben zo'n balle op zich of niet 
A: 	hij hebben zo'n balle op en twee handvat aan de 
B: 	ja 
B: 	ja 
A: 	ja 
B: 	oké dan zijn het nummer D 
A: 	volgens mij verspringen ze ook telkens een beetje 
A: 	ja ja 
B: 	dit zijn weer een kop met een balle erop 
B: 	volgens mij ook de enig zo te zien 
B: 	die hebben twee armp en dan één zo'n verticaal balk aan de voorkant 
A: 	ja mijn waterpomp 
A: 	die hebben we al een keer hebben 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer vijftien 
A: 	de waterpomp 
B: 	waar zijn die 
A: 	de staaf en het bolle bovenop 
B: 	ja 
B: 	dat zijn L 
B: 	oké dit zijn weer die met die het balle erop en dan die verticaal balk ervoor 
B: 	de pomp 
A: 	de waterpomp 
B: 	ja 
A: 	nummer zes 
B: 	ah oké 
A: 	de waterpomp 
B: 	waar zijn die 
A: 	bolle bovenop en die staaf 
B: 	ja ik zien hem voor me ja daar zijn die J 
B: 	de pomp 
B: 	waterpomp 
A: 	ja nummer drie 
