A: 	ja deze hebben een piramide op zijn hoofd of op zijn bovenkant 
B: 	o ja ja dat ik weten welk je bedoelen 
A: 	en ook een soort van piramide die zijn afgekapt aan de voorkant 
B: 	ja ja dat zijn bij mij J 
A: 	bij mij vijftien 
B: 	ok dan moeten ik klikken 
B: 	dit zijn dat een met dat punt puntje punthoedje eigenlijk vinden ik het een beetje er bovenop 
A: 	ja 
A: 	ja en ook die afgehaken zo 
B: 	en 
B: 	ja ja 
A: 	ja bij mij zijn dat zes 
B: 	ok bij mij H 
A: 	dit zijn die met die driehoekig puntmuts en die afgehaken driehoek 
B: 	dat zijn E bij mij 
A: 	zestien 
B: 	o dit zijn die een met dat hoed boven en voor zo'n afgesneden piramide achtig iets ja 
A: 	ja dat zijn tien bij mij 
B: 	ok bij mij A 
A: 	dit zijn die met de driehoek hoed en de driehoek neus afkapten driehoek 
B: 	even kijken o daar o G 
A: 	ja dertien bij mij ja 
B: 	dit zijn weer dat dat ja hoed voorop en dat driehoek afsnijden 
A: 	ja dat zijn tien bij mij 
B: 	ok bij mij K 
