A: 	ja ik zijn ik weten niet waarom die hebben ik beschrijven als Pinokkio maar dan ja het zijn 
B: 	ik weten al welk je bedoelen ik vinden het een boiler denken ik 
A: 	nou het zijn het zijn een het hebben een heel lang neus zo maar aan de achterkant hebben het een soort van geruit geruit iets met een soort boek met twee vierkant blok ja 
B: 	met zo 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	ik vinden het één die neus Pinokkio en dat boek daar hebben ik nog iets ander bij zetten maar 
B: 	ja 
B: 	ja 
A: 	ja 
B: 	ik vinden het echt op een boiler lijken ik weten niet waarom 
A: 	ja kloppen op zich ook wel een beetje ja 
B: 	M 
B: 	ik noemen het de boiler 
B: 	jij noemen het iets ander 
A: 	ja 
B: 	met dat vierkant boek bovenop 
A: 	ja ja ja ik noemen het Pinokkio maar de boiler ja 
B: 	Pinokkio ja Pinokkio 
A: 	negen 
A: 	Pinokkio jij de boiler 
B: 	de 
A: 	ja de boiler 
B: 	de boiler 
B: 	ik zien hem niet 
A: 	met dat ja met dat gek vierkant ding en de twee zeggen maar die vierkant ding aan de achterkant en 
B: 	ja en met dat boek bovenop 
A: 	ja dat boek bovenop ja precies 
B: 	ja 
B: 	H 
B: 	oké de boiler 
A: 	de boiler 
A: 	ja dat zijn elf 
A: 	dan zitten die wel goed 
A: 	de boiler 
B: 	de boiler 
A: 	de boiler 
A: 	die hebben we ah daar veertien 
