A: 	ja 
A: 	dit zijn het zijn het kop en dan bovenop zitten dan een ruit met een vierkant staaf erdoorheen die ook steeds groot worden naar aan de buitenkant 
A: 	en dan aan de rechterkant zitten een een staaf met een knik en aan de voorkant zitten ook een staaf en aan de onderkant zitten ook zo'n soort van poo met een knik 
B: 	ja 
B: 	dat zijn bij mij M 
B: 	one's dit zijn die aan de Rechtervoorkant hebben die zo'n rond staaf 
B: 	als soort van neus en aan de onderkant hebben die zo'n vierkant haak 
A: 	ja ja 
B: 	en rechts ook 
A: 	ja 
B: 	en dan bovenop hebben die een diamantvorm met die kubusding erdoorheen 
A: 	ja ja die groot worden 
B: 	ja 
A: 	yes dat zijn negen 
A: 	dit zijn de ja die met die die die ruit bovenop en dan die vierkant erdoorheen 
A: 	die die klein wordende groot worden vierkant en dan links ik bedoelen rechts en aan de onderkant nog een haak en aan de voorkant nog die neus 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn H 
B: 	dit zijn die met diamant aan de bovenkant met die vierkant staaf die klein worden erdoorheen en dan onder 
B: 	haak rechts een haak en een staaf als neus 
A: 	ja 
A: 	dat zijn elf 
A: 	ja dit zijn die met die die die die ruit bovenop met die vierkant die groot en klein worden 
B: 	ja 
A: 	en die drie uitstulpings 
B: 	ja ik zien hem al 
B: 	dat zijn D 
B: 	dit zijn die met die diamant aan de bovenkant met die vierkant staaf doorheen 
A: 	nee 
B: 	die klein worden 
A: 	en die ander drie 
B: 	ja 
A: 	dat zijn veertien 
