B: 	ja 
A: 	ja 
A: 	dit figuur hebben even kijken aan de bovenkant een soort hoed op met een plat dak aan de bovenkant 
A: 	en aan de rechterkant staan een soort istek 
A: 	en aan de linkerkant een minne 
A: 	en dan hebben die aan de Linkeronderkant hebben die nog een soort komma staart 
B: 	ja 
B: 	dat zijn I 
B: 	of zijn dat een L 
B: 	nee dat zijn een I 
B: 	I 
B: 	alright dit zijn het kop met een heuvelt bovenop en het minne en het isteken 
B: 	het minne aan de linkerkant en dan de zijn aan de rechterkant 
A: 	ja 
A: 	nummer twee 
A: 	dit zijn dat plaat met dat heuvel aan de bovenkant en aan de een kant het is en aan de ander kant het minteken 
B: 	ja 
B: 	M 
B: 	oké dit zijn die met het minne en het isteken en de heuvel bovenop 
A: 	ja nummer negen 
A: 	en dit zijn die met het isteken rechts en het minne link 
B: 	dat zijn F 
B: 	dit zijn die met het minne en het isteken 
A: 	nummer zes 
