A: 	oké deze hebben een soort punt bovenop 
A: 	en dan een een soort vierkant aan de rechterkant dat zo steeds bred worden 
B: 	ja dat zijn bij mij J 
B: 	deze hebben een soort puntig ding erbovenop 
B: 	met dan dat vierkant wat iets dikk of dat blok dat iets dik worden aan de onderkant 
A: 	ja dat zijn bij mij zes 
A: 	deze hebben die punt bovenop 
A: 	en dat vierkant dat steeds bred worden aan de rechterkant 
B: 	ik zijn hem aan het zoeken 
B: 	ja 
B: 	dat zijn bij mij E 
B: 	ja die weer met het met de driehoek bovenop en de dat vierkant dat dik worden 
A: 	ja dat zijn bij mij tien 
A: 	die met die punt bovenop en dat vierkant aan de zijkant dat steeds bred worden 
B: 	G 
B: 	die met de driehoek bovenop en dat blok wat groot worden 
A: 	ja dat zijn nummer tien 
