A: 	nu hebben ik er één die heel vaag zijn 
A: 	hij hebben één een raar figuur bovenop 
A: 	één naar achteren één naar voren en één een beetje naar de zijkant 
A: 	ja het zijn één één hebben zo van drie blok boven op elkaar 
A: 	die staan een beetje naar rechts 
A: 	je hebben een soort soort ovaal die staan een beetje naar links je hebben een ovaal die staan er recht bovenop 
A: 	en je hebben een soort armp die een beetje naar achter staan 
B: 	oeh dit hebben ik nog niet 
A: 	ja je hebben dus vier vier ding en ze staan allemaal echt exact een ander richting op 
A: 	en ze raken elkaar niet aan ook 
B: 	en dat en zijn het aan de rechterkant een soort van ja bijna een soort van huis wat je daar zo tegenaan hebben staan 
A: 	aan de rechterkant zijn het vier van die kubus boven op elkaar 
B: 	of zijn dat hem niet 
B: 	vier kubus 
B: 	ja oké dan zien ik wel wat je bedoelen 
B: 	ik zien het veel als een soort Zaans huis met zo'n soort trapjesdak 
A: 	ja ja ja ja 
B: 	dat zijn dezelfde dan 
B: 	en het uiteinde van een wcborstel op zijn hoofd 
B: 	zien je daar iets in 
A: 	ja ja ja op zich zien ik dat wel ja 
B: 	sorry ik zijn heel erg 
B: 	en dan een soort dinge wat naar achter een soort klein slurf naar achter 
A: 	ja ja 
B: 	en dan diezelfde toiletborstel aan de linkerkant 
A: 	ja ja dat zijn hem 
B: 	ja 
B: 	oké E 
B: 	dit zijn best wel dat zijn dat heel moeilijk figuur met aan de rechterkant die opeengestapeld blok 
B: 	bovenop die toiletborstel 
B: 	link nog een keer die toiletborstel en dan die naar achter 
A: 	ja 
A: 	even kijken waar die staan 
A: 	ja nummer elf 
A: 	dit zijn ding die hebben weer vier uitsteeksel zo'n borstel erboven wcborstel één link bol 
B: 	die 
A: 	kubus rechts en één erachter 
B: 	kunnen hem even niet vinden ik ja 
B: 	dat zijn J 
B: 	ik hebben dat heel raar figuur met de de dat toren die blokkendoos rechts 
B: 	wc borstel erop wcborstel link 
B: 	en dan dat slurf 
A: 	negen 
A: 	ja 
A: 	ik hebben die met waar we het net over hebben borstel kegel of raar dinge en blokkentoar weten je wel 
B: 	wachten ik weten even niet 
A: 	die die die je net ertussen proberen te passen 
B: 	ja die met die blokkentoar en die wc twee wcborstel 
A: 	ja 
B: 	ja dat zijn B 
B: 	ik hebben dat raar figuur met die twee wcborstel zo erop en links en die blokkentoar rechts 
A: 	nummer vier 
