B: 	het er zitten een vierkant zeggen maar dwars door het kop heen 
B: 	en er zijn twee klein twee klein staafjes die er aan veel net iets veel naar de rechterkant eruit steken 
B: 	en aan de 
A: 	aan welk kant uitsteken 
B: 	sorry 
B: 	aan de ze komen er aan de bovenkant uit maar dat zitten net iets veel naar rechts dan dat het naar links zitten 
A: 	ja 
A: 	okee en de het vierkant zitten zitten er gewoon dwars doorheen 
B: 	ja die zitten er dwars doorheen die zitten net iets veel naar onder 
A: 	ja 
B: 	en dan komen er aan de linkerkant komen er nog een soort van letter l uit 
A: 	ja 
B: 	ja ja precies die ja 
A: 	ja ja ja 
A: 	dat zijn acht 
B: 	okee 
A: 	dit zijn kopjesvorm met ja die vierkant plaat erdoorheen 
A: 	aan de bovenkant twee klein torent en aan de linkerkant de l-vorm die eruit komen 
B: 	ja 
B: 	en dan aan de rechterkant nog soort van rond staaf die eruit komen 
A: 	ja 
A: 	yes 
B: 	h zijn het 
B: 	sorry dit zijn zeggen maar het kop met een vierkant dwars erdoorheen 
B: 	en dan een l die er aan de linkerkant uitkomen en twee klein 
A: 	punt Erboven 
B: 	ja ja 
A: 	ja drie 
A: 	die met het vierkant erdoorheen en de twee torent bovenop 
B: 	ja 
A: 	vorm aan de linkerkant 
B: 	p 
B: 	ja 
A: 	yes 
B: 	p 
B: 	met vierkant wat er dwars doorheen zitten en dan de twee klein dinge aan de bovenkant en de l-vorm 
A: 	ja zeven 
A: 	dit zijn die met het vierkant erdoorheen en aan de linkerkant die l-vorm en bovenop de twee klein balkjes 
B: 	yes 
B: 	moeten hem even vinden 
B: 	ja c 
