B: 	deze hebben ook vier handvaat waarvan de die aan de voorkant zitten zijn dat bolle 
B: 	en dan links hebben je een driehoek 
A: 	ja 
B: 	en dan zitten er twee bovenop waarvan de linker ja ik vinden het op een soort pen lijken 
B: 	en de rechter zijn gewoon een rechthoek 
A: 	ja dat zijn nummer veertien 
A: 	ja dit zijn die een waar jij zeggen dat er een penne in zitten en het rechthoek zeggen maar 
B: 	ja 
B: 	en een balle van 
A: 	en het en het balle eraan en dat Vvormig ding 
B: 	ja 
B: 	dat zijn N bij mij 
B: 	dit zijn weer dat kop met die vier handvaat waarvan één zo op een pen lijken 
B: 	en aan de voorkant een balle 
A: 	en het V' 
B: 	link zitten V' en boven dat rechthoek 
B: 	ook nog daarbij naast die pen 
A: 	ja dat zijn nummer negen 
B: 	ja 
A: 	de pen en het staaf in het beker met het V'tje en de knop 
B: 	ja 
B: 	ja dat zijn G 
B: 	dit zijn die weer met die pen en dat rond aan de voorkant 
B: 	dat bolle bedoelen ik 
A: 	en het rechthoek ernaast 
B: 	ja 
A: 	nummer vijf 
A: 	het koffiemok met de pen en de staaf en het knobbel 
B: 	ja 
B: 	dat zijn J 
