A: 	nou hebben ik er weer een 
A: 	deze lijken een beetje op de korf van een korfbal 
A: 	of zo'n korfbal korf 
A: 	met de bal op de korf die er zo ieder moment in kunnen gaan vallen 
B: 	oké 
A: 	met aan linkerkant een iets lang haak en aan de rechterkant een iets kort uitstulpinkje 
B: 	ja 
B: 	denken dat ik hem weten , hebben hij aan de voorkant ook een staaf 
A: 	ja dat zijn die staaf zegmaar van die van de 
B: 	ja 
B: 	ja precies 
A: 	van de van de korf ja 
B: 	ja 
A: 	ik weten niet 
B: 	en een balle erbovenop 
A: 	ja 
B: 	ja oké dan zijn het O 
A: 	oké 
B: 	deze hebben een balle op de bovenkant 
B: 	en een recht staaf aan de voorkant 
A: 	ja 
A: 	dat zijn die korfbalkorf een beetje 
B: 	ja ja 
A: 	ja 
A: 	dat zijn tien 
A: 	dit zijn de , hoe zeggen je dat nou , handbalkorf , met de vallen bal 
B: 	ah ja korfbal 
B: 	ja ja dat zijn L 
B: 	dit zijn die korfbal 
B: 	bal bovenop staaf 
A: 	ja 
A: 	ja ja ja even kijken elf 
A: 	dit zijn weer de de korfbalmand met de met de bal 
A: 	aan de rand 
B: 	ja 
B: 	G 
B: 	dit zijn de korfbal 
A: 	ja 
A: 	vijf 
