B: 	dit zijn twee blok zitten bovenop de emmer en onderop zitten een soort draaien spel met een driehoek 
A: 	ja dat zijn dertien 
B: 	okee 
A: 	deze hebben die cilinder aan de onderkant met die driehoek eronder 
A: 	en twee blok bovenop 
B: 	even kijken want ik weten wel welk je bedoelen ja die gedraaide bedoelen je zo 
A: 	ja 
B: 	ja o 
B: 	dit zijn de emmer waar twee blok bovenop zitten en onderop zitten die staaf zo draaien 
A: 	ja veertien 
A: 	dit zijn de cilinder aan de onderkant met de driehoek en twee blok bovenop 
B: 	ja 
B: 	d 
B: 	dit zijn de twee blok bovenop met de het spel zo naar beneden 
A: 	ja 
A: 	even zoeken 
A: 	zes 
A: 	dit zijn de met de spiraal en de twee blok bovenop 
B: 	ja 
B: 	l 
