B: 	dit zijn staan op een draaien pilaar die zijn zo ik weten niet , draaien 
B: 	en drie vierkant erbovenuit steken 
B: 	ja dat zijn er maar één denken ik 
A: 	ja 
A: 	ja 
A: 	ja nummer vijf zijn dat 
A: 	dit zijn weer de bak en er zitten bovenop drie ding , een draaien paal en hij steunen op een driehoek 
A: 	hij lijken een beetje op een gieter als je er van 
B: 	drie ding aan de bovenkant zeggen je 
A: 	ja een soort van gieter zijn dat 
A: 	vast 
A: 	en de misschien zijn het het veel opvallen zijn de pilaar waar die op zitten dus dat gedraaide die gedraaide 
B: 	met een knik 
A: 	ja 
A: 	en op driehoek leunt hij 
B: 	ja ja ja 
A: 	de voet van de pilaar zijn een driehoek 
B: 	oké 
B: 	H dan 
B: 	ik inzien nou pas dat het een driehoek zijn ja 
B: 	bak met gedraaide pilaar , daar staan op , met een driehoek onderop 
A: 	nummer veertien 
A: 	de bak die draaien staan met de draaien pilaar 
A: 	die leunen op het driehoek 
B: 	waar zijn hij 
B: 	ja M 
B: 	draaien paal leunen hij op , op een driehoek onderop 
A: 	nummer drie 
A: 	de bak die draaien met de draaien pilaar die op het driehoek staan 
B: 	draaien pilaar 
B: 	A 
