B: 	oké deze er zitten lijken als je het als een kom zullen zien zitten er twee voorwerp in 
B: 	en er zitten dan een bolle op 
B: 	aan de rechterkant 
B: 	en nog één nog een uitsteeksel aan de linkerkant 
A: 	even 
B: 	en dan uitzitten er boven zitten er twee langwerpig ja op of in het zijn hoe je het bekijken 
B: 	twee relatief lang voorwerp zitten er op 
A: 	zitten er een bolle rechts in het midden van 
B: 	zitten een bolletje rechts in het midden en dan een uitsteeksel link in het midden 
A: 	ja en dan twee ding daarbovenop 
B: 	ja 
A: 	ja dan zijn het nummer veertien 
A: 	ja dit zijn degeen met het bolle rechtsvoor 
A: 	bovenop zijn er twee uitsteeksel 
A: 	en links ook nog 
B: 	bollet ja ja ja 
A: 	even bolle rechtsvoor ja 
B: 	ja dat zijn N 
B: 	dit zijn het bolle rechts en twee ding die Erboven insteken 
A: 	en links nog een uitsteeksel 
B: 	en links nog een uitsteeksel 
A: 	dit zijn het figuur met het bolle aan de rechterkant ertegenaan 
A: 	met twee uitsteeksel bovenop en één link 
B: 	ja 
B: 	dat zijn G 
B: 	dit zijn het balle aan de rechterkant twee ding die erboven inzitten 
B: 	en het uitsteeksel uitsteekseltje link 
A: 	ja dat zijn nummer vijf 
A: 	dit zijn het figuur met dat balle aan de rechterkant ertegenaan 
B: 	ja en de 
A: 	met bovenop twee uitsteeksel en link een uitstekel 
B: 	ja 
B: 	dat zijn J 
