A: 	om ja dit zijn er één dat zijn een kop met komen een soort van bolletje boven 
A: 	maar ook aan de zijkant twee dezelfde een soort van rond bollet en er zitten ook nog aan de 
A: 	rechterkant zitten er zo'n vierkant wat telkens een klein vierkant worden 
B: 	ja 
B: 	en één of ander buis aan de achterkant 
A: 	ja 
B: 	oké 
B: 	E 
B: 	oké dit zijn weer die blok die steeds groot worden zitten aan de rechterkant 
B: 	en twee vergelijk ding boven en link 
B: 	en een soort van buis naar achteren 
A: 	even kijken hij hebben één van die vierkant aan de rechterkant zijn het 
B: 	ja 
A: 	die vierkant die klein worden dan weer één achter één aan de zijkant en zo'n floebel 
B: 	ja 
A: 	ja 
A: 	elf 
A: 	dit zijn diegene met one's 
A: 	aan de rechterkant een vierkant die telkens klein worden aan de achterkant hebben die nog iets en hij hebben zowel aan de linkerkant als de bovenkant hebben die hetzelfde zo'n zo'n bolle zo'n 
B: 	ja precies 
B: 	J 
A: 	ja 
B: 	dit zijn weer ja die de een met het groot vierkant worden of klein worden 
A: 	ja 
B: 	aan de rechterkant en dan die ding boven en links en zo'n pijp aan de achterkant 
A: 	ja precies 
A: 	ja ja dat zijn negen 
A: 	dit zijn degeen met aan de rechterkant hebben je die vierkant die klein worden 
A: 	sprie boven sprie aan de zijkant en nog een stengel naar achter 
B: 	ja 
B: 	waarom zien ik die niet 
B: 	hier 
B: 	B 
B: 	de blok die steeds klein worden aan de rechterkant en dan die ding boven uitsteekt en links en aan de achterkant opsteken er nog iets uit 
A: 	even kijken welk ? nog een keer 
B: 	de zeggen maar die klein worden blok zitten aan de rechterkant 
A: 	ja en en met dat 
B: 	met die twee antenneding ja 
A: 	ja 
A: 	vier 
