B: 	oké begin of het zijn het bak en het bak staan op een soort van Swirly dinge 
B: 	en dat Swirly dinget zitten op een driehoek 
A: 	ja 
B: 	ik vinden het net een robot die naar boven komen zeggen maar draaien 
A: 	ik ik denken veel dat het een soort soort fancy cocktailglas zijn maar 
A: 	nummer vier 
B: 	oké 
A: 	dit zijn wat ik net zeggen dat raar cocktailglas wat jij zeggen een soort ander ding 
A: 	je hebben zeggen maar dat dat voetstuk dat zijn zo draaien en dat staan op het driehoek 
B: 	ja 
B: 	ja ja ja ik hebben hem 
A: 	en dan met die blok erop zeggen maar 
B: 	ja 
B: 	A 
B: 	het fancy cocktailglas 
A: 	ja 
A: 	nummer tien 
A: 	het fancy cocktailglas 
A: 	met het driehoek onderop 
B: 	ja 
B: 	letter L 
B: 	cocktailglas 
A: 	nummer vier 
A: 	het cocktailglas 
B: 	yes 
B: 	letter F 
