A: 	oké ik noemen deze draaiemmer 
A: 	het zijn een het zijn die emmer voor met een ja staaf erdoorheen met twee rond knopje aan de zijkant 
B: 	ja dat zijn bij mij arm 
B: 	denken ik even kijken 
A: 	en dan ook nog zo'n zo'n paneel aan de achterkant 
B: 	ja ja ja K en bij jou 
A: 	tien 
B: 	tien K 
B: 	dit dit deze dit zijn mijn armp 
B: 	dus die zeshoekig armpjes 
B: 	met die met dat gek ding 
A: 	met het met dat paneel erachter 
B: 	ja met dat paneel erachter 
A: 	oké ja 
A: 	welk zijn het 
B: 	B 
A: 	B negen 
A: 	draaiemmer degeen de emmer met een staaf erdoorheen die jij arm noemen 
B: 	ja 
A: 	paneel op de achterkant 
B: 	F 
A: 	zeven 
B: 	F zeven 
B: 	dit zijn met die plat achterkant die ik armp noemen 
A: 	ja 
B: 	K 
A: 	K drie 
A: 	oké jou arm met dat paneel aan de achterkant 
B: 	even kijken 
A: 	veertien 
B: 	L veertien 
B: 	dit zijn mijn arm 
B: 	met die plaat 
A: 	ja 
B: 	ja M 
A: 	M vijf 
