B: 	okee 
A: 	zijn een kop met een neus aan de rechterkant en een vierkant piercing er eigenlijk 
A: 	half wijnglas 
A: 	en een klein antenne bovenop 
B: 	wat 
A: 	dus gewoon één balle zitten aan de voorkant 
B: 	ja 
A: 	en die hebben zo'n eigenlijk wel zo'n piercing erdoorheen 
B: 	maar zijn dat de staaf met een rond eraan 
A: 	ja 
A: 	juist 
B: 	okee dat zijn k 
B: 	dit zijn de piercing neusvorm 
A: 	een 
A: 	wel piercing 
B: 	ja 
B: 	f 
B: 	de piercingneus 
A: 	elf 
A: 	met neuspiercing 
B: 	m 
B: 	piercing 
A: 	acht 
