A: 	oké ik hebben nu een soort van ik noemen het een uitdijen kubus 
B: 	ja 
A: 	aan de rechterkant 
A: 	en aan de achterkant steken een soort van buigen stang uit die je half zien 
A: 	en links en bovenop zitten weer zo'n soort van pluim zeggen maar 
B: 	ja zo'n aan de voorkant zijn zo vierkant die steeds groot worden zeggen maar op elkaar 
A: 	ja 
B: 	oké 
A: 	ja wel echt een kubus zeggen maar niet een plat vierkant maar wel echt een 3Dfiguur 
B: 	ja 
B: 	ja en dan bovenop en links dezelfde figuurt dinge eraan en aan de achterkant 
A: 	ja 
B: 	ja 
A: 	ja 
B: 	dat zijn bij mij E 
B: 	deze hebben boven en links hetzelfde uitsteeksel 
B: 	en dan aan de rechterkant vierkant die groot worden 
B: 	en aan de achterkant nog een soort buigen stang 
A: 	ja 
A: 	oké dat zijn nummer elf 
A: 	deze hebben links en bovenaan weer diezelfde soort van pluim en dan achteraan die buigen buis die uitsteken en 
A: 	rechts die kubus die zo uitdijt 
B: 	ja 
B: 	dat zijn bij mij J 
B: 	deze hebben aan de bovenkant en aan de linkerkant hetzelfde uitsteeksel 
B: 	en aan de rechterkant die uitdijen kubus en nog een dinge aan de achterkant 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	ik hebben nu die een met rechts die uitdijen kubus en links en bovenop dezelfde pluim zeggen maar en 
A: 	link uit of ja of achter die stang 
B: 	ja 
B: 	dat zijn bij mij B 
B: 	dit zijn met boven en links hetzelfde dinge en dan rechts die uitdijen kubus 
A: 	ja 
A: 	dat zijn nummer vier 
