B: 	oké ik hebben een vierkant 
A: 	ja 
B: 	ik vinden het lijken op een wc-borstel 
B: 	of een wc-pot met een borstel erin ik weten het niet 
A: 	wc-pot 
B: 	en aan de linkerkant een uitstulping 
A: 	ja 
B: 	een staaf 
A: 	alleen aan de linkerkant of zitten er ook iets aan de rechterkant 
B: 	aan de rechterkant zitten niks 
A: 	oké 
B: 	en hij staat wel op een soort voet 
A: 	volgens zien ik hem , want de voet zijn ongeveer even lang als de als de bak zelf 
B: 	ja 
A: 	oké 
A: 	dan zijn het twaalf 
B: 	oké 
A: 	dit zijn wat jij noemen de de wc met de borstel erin 
B: 	ja 
A: 	en aan de linkerkant zitten een een pilaar 
B: 	ja en een rond 
A: 	een rond erbovenop en de de of de de onderkant van de bak zijn even breed als de bak zelf 
B: 	de ander 
B: 	ja ja dat zijn hem ja 
B: 	I 
B: 	next 
B: 	de wc-kop 
B: 	borstel 
B: 	op het plateau 
B: 	die even breed zijn als het kop zelf 
A: 	oké 
A: 	nog een keer 
A: 	de de wc 
B: 	ja ik zien het als een wc-borstel , zitten een borstel in 
A: 	de de 
A: 	oké 
B: 	zoals ik het zien , met een uh , met een voet 
A: 	oké ja ja ja 
B: 	die even breed zijn als de bak de kop zelf 
A: 	ja 
A: 	ja 
A: 	dertien 
A: 	dit zijn het toilet 
B: 	yes 
A: 	en met de borstel erin , en de onderkant zijn even breed als de bak zelf 
B: 	A 
B: 	wc-bak met één of een wc-borstel en een gelijk plateau die even breed zijn als het kop 
A: 	nummer dertien 
B: 	aan de linkerkant 
A: 	de bak met de toiletbak met de met de even breed onderkant 
B: 	d 
