A: 	deze hebben zo'n uitsteeksel bovenop 
A: 	ik vinden het een beetje lijken op een plant in een pot 
B: 	ja 
A: 	en zo'n zelfde uitsteeksel zitten ook nog aan de linkerkant 
B: 	aan de zijkant 
B: 	ja 
A: 	ja en dan hebben die rechts nog iets wat op een toren lijken of een verrekijker of zo 
B: 	ja oké dan zijn het E 
B: 	oké deze hebben een dit zijn die plan in een pot 
B: 	en dan ook één aan de zijkant en die toren aan de voorkant 
A: 	ja 
A: 	ja 
A: 	oké dat zijn elf 
A: 	dit zijn die met één toren aan de rechterkant en zo'n ding bovenop die plant in die pot 
B: 	ja ja ja dat zijn J 
A: 	ja 
B: 	ik hebben diegene met die plant in die pot en dan ook nog de zo'n zelfde vorm aan de zijkant 
A: 	ja 
B: 	en zo'n toren aan de voorkant 
A: 	ja 
A: 	oké dat zijn negen 
A: 	dit zijn die met dat toren erin en die plant in die pot 
B: 	plant 
A: 	met zo'n zelfde uitsteeksel nog 
B: 	ja ja ja ja ja 
A: 	ja 
B: 	dat zijn B 
B: 	oké ik hebben die plant in die pot met diezelfde uitsteeksel en dat toren 
A: 	ja 
A: 	oké dat zijn vier 
