A: 	okee dit zijn ook een emmer en daar zitten een ovaal bol aan de rechterkant en daar steken een vierkant stok doorheen met aan de rechterkant een een schijf en bovenop zitten nog een heel klein uitsteeksel 
A: 	soort ja hoe noemen je dat 
B: 	ja ja ja ja ik hebben hem 
A: 	ja 
B: 	l 
B: 	dit zijn een bal tegen de emmer aan en daar doorheen zitten een spel 
A: 	ja 
B: 	ja met zo'n plat rond 
A: 	ja veertien 
A: 	dit zijn die met dat rond aan de voorkant met die staaf erdoorheen 
A: 	en dan de aan de plat kant nog een rond 
B: 	ja ja 
B: 	j 
B: 	dit zijn de bal die tegen de emmer aan zitten waar de schijf waar de staaf doorheen opsteken en dan die rond schijf zo aan het uiteinde van de staaf 
A: 	ja 
A: 	zestien 
A: 	dit zijn die bol aan de voorkant met de staaf erdoorheen en dat rond aan de zijkant 
B: 	e 
B: 	dit zijn de bal waar de spel doorheen opsteken met die met die ander schijfjes aan het uiteinde 
A: 	ja 
A: 	vijfteen 
