A: 	okee 
A: 	ja nou nu weer zo'n koffiekopje 
A: 	aan de voorkant zitten een soort van ja bal 
B: 	ja 
A: 	en er zitten een houten ja een houten lang stok doorheen 
B: 	een bal ja 
B: 	ja 
A: 	met ja één aan een aan één uiteinde een 
B: 	ik hebben een vermoeden 
B: 	zitten er nog een schijf toch 
A: 	ja een schijf inderdaad ja 
B: 	ja 
A: 	die en bovenop nog zo'n pluimp 
B: 	okee 
B: 	ik denken dat ik hem wel weten 
A: 	okee 
B: 	ik gaan voor à 
B: 	ah we komen nu bij het kop met eineus met een staaf erdoorheen 
B: 	horizontaal en aan één uiteinde dus een schijf 
A: 	ah ja met dat pluimp bovenop ook 
B: 	ja met het pluimp bovenop ja 
A: 	ja 
A: 	dat zijn nummer vier 
A: 	dit zijn ja het kop met ook een ei aan de voorkant dat balle met die houten plank erdoorheen 
A: 	met ja het het voetstuk zeggen maar 
A: 	ik zien het altijd als zo'n springpaal zeggen maar die je die je neerzet waar je een touw tussen spant dus 
B: 	ja 
B: 	ja 
A: 	maar dan zijn die horizontaal 
B: 	ja 
A: 	dus ja die 
B: 	dat zijn voor mij f 
B: 	koffie nodig 
B: 	dit zijn de eineus met een horizontaal balk door zijn neus heen en aan het uiteinde een een schijf 
A: 	ah die springstok 
B: 	ja 
A: 	ah nummer dertien 
A: 	deze zijn weer met die springstok 
A: 	eivormig balle aan de voorkant waar die stok doorheen zitten met dat 
B: 	ja 
B: 	waar zijn je waar zijn je 
A: 	ja 
B: 	ah 
B: 	dat zijn voor mij nu i 
B: 	kop met eineus met daardoorheen ja dus die werkbank 
A: 	de stok 
B: 	waar hebben je het over of springplank 
A: 	Springstok 
A: 	ja nummer zestien 
B: 	Springstok ja 
