B: 	ja deze hebben eigenlijk heel weinig uitsteeksel 
B: 	hij hebben een soort van neus linksonder 
B: 	en bovenop liggen een blok 
A: 	ja acht 
A: 	ja deze zijn die vag 
A: 	dat balk bovenop en die ja soort van neusvorm linksonder 
B: 	h 
B: 	deze hebben een neus linksonder en het blok bovenop zijn hoofd 
B: 	met een heel raar vormp aan de rechterkant 
A: 	ja vijfteen 
A: 	okee 
A: 	de balk links rechts bovenop en de neus linksonder 
B: 	c 
B: 	de neus linksonder en het balk horizontaal bovenop 
A: 	ja 
A: 	een 
A: 	balk links rechts bovenop en neus linksonder 
A: 	de balk bovenop van links rechts 
B: 	a 
