B: 	oké dit zijn wel waar we het net over hebben 
B: 	met die ook met die poot aan benedenkant 
A: 	oké nou die 
B: 	met draaien op een driehoek 
A: 	ja met die 
A: 	ja sure 
B: 	ja 
A: 	dat zijn veertien 
B: 	oké 
A: 	oké ja dit zijn weer die wel de gedraaide met die driehoek zegmaar daaronder 
B: 	ja oké ja dus G zijn dat ja 
A: 	ja 
A: 	ja 
B: 	ja dit zijn weer die gedraaide met het driehoek 
A: 	oké ja twee 
A: 	ja dit zijn weer die gedraaide met de driehoek 
B: 	ja ja oké dat zijn C 
B: 	ja dit zijn weer met dat draaien poo op de driehoek 
A: 	ja 
A: 	een 
A: 	oké dat zijn één ja dit zijn met die draaien poot weer 
A: 	met die driehoek 
B: 	ja oké 
B: 	ja zijn M 
