A: 	ok nou zijn eigenlijk ook zo'n soort ovaal iets en dan met een 
A: 	bolle aan de voorkant met er met er doorheen boord een ja kunnen kunnen je zeggen neuspiercing achtig gebeuren 
B: 	ja hebben hij dan ook nog zo'n klein pluk bovenop 
A: 	met toe op ja ja 
B: 	ja dan zijn het F 
B: 	ja dit zijn weer eigenlijk die met die neuspiercing met die met die bol neus en dan dat ding er doorheen pluimp bovenop 
A: 	ja ja ja nummer ja nummer vijf 
A: 	ja dit zijn dan met die neuspiercing 
B: 	ja dat zijn dan A 
B: 	dit zijn weer die neuspiercing 
A: 	ja vinden 
B: 	en als je alles in in wacht 
A: 	dat toe er op 
A: 	o nummer nummer vijf ja ja ja horizontaal rij ja 
B: 	ja 
A: 	ja dit zijn die neuspiercing met dat met dat staart of ja 
B: 	ja dat zijn dan H 
B: 	ik krijgen nu de neurpiercing 
A: 	ja vinden nummer vijftien 
