A: 	bij mij zijn dit het kop 
A: 	en aan de rechts kant hebben die een soort van plateau alsof die een dienblad vasthouden 
B: 	ja die zo hebben ik hem ook omschrijven moeten hem even zoeken 
A: 	en aan de 
A: 	ja en aan de linkerkant hebben die een soort van raar neus waar een soort van popnagel inslagen lijken te worden 
B: 	hier 
B: 	ja hebbes 
A: 	of een trompet eruit lijken te komen net wat je wat je willen ja 
B: 	ja 
B: 	maar dan met een vierkant ding eraan 
B: 	geen rond 
A: 	ja ja ja ja ja 
B: 	ja 
B: 	oké dat zijn L 
B: 	dit zijn die een met dat dienblad en dat aan de ander kant zo'n raar pijl 
A: 	ja 
A: 	even kijken waar staan die 
A: 	ja met die soort van popnagel die erin slaan worden ja 
B: 	ja die 
A: 	dat zijn bij mij zeven 
A: 	dit zijn die een met dat dienblad en die nagel die erin slaan worden 
B: 	ja 
B: 	waar zijn je 
B: 	ik denken dat ze hem eruit hebben 
B: 	hier 
B: 	C 
B: 	dit zijn die een met dat dienblad en die dat raar spijkerdinge 
A: 	ja nummer één 
A: 	dit zijn die een met het dienblad en die spijker die in zijn raar neus komen 
B: 	ja 
B: 	dat zijn A 
B: 	zullen ik gewoon beginnen met hij staan in het Linkerkwadrant 
B: 	die met het dienblad 
B: 	blaad 
A: 	die staan bij mij of die hebben ik dertien 
