B: 	okan ja deze hebben aan de bovenkant een balk aan de linkerkant een beetje soort van 
B: 	ja tui of zo en aan de rechterkant ja zitten er ook een vlak en daar zitten dan nog weer een 
B: 	balk op hij zijn zeggen maar alles zitten wel heel dicht tegen het object aan 
A: 	ok hoe hoe zien die balk aan de bovenkant er uit ? zitten er één op de bovenkant 
B: 	ja liggen ja die zijn zeggen maar net iets klein dan dat rond ding zelf 
A: 	ok en zijn het ding wat aan de voorkant zijn het steken er wel aan allebei de kant een klein beetje iets uit 
B: 	ja 
A: 	en hij zijn wel echt heel compact toch 
B: 	ja 
A: 	ok dat zijn acht 
A: 	o ja ik haaten dit ding er zitten een balk bovenop het kop en er zitten zo'n V aan de voorkant 
A: 	aan de zijkant hebben hij een soort vin of zo die ook een beetje rond lopen 
B: 	een balk bovenop 
A: 	ja 
B: 	zijn hij zeggen maar die heel compact of niet ok 
A: 	ja ja ja 
B: 	zeggen maar die balk erop en aan de linkerkant hebben hij zoiets en aan de rechterkant en er zitten nog een staaf op 
A: 	ja 
B: 	okan dan zijn het E 
B: 	okan ja dit zijn die compact met dat blok bovenop 
A: 	ja dat zijn één 
A: 	dit zijn de heel compact 
B: 	ja 
B: 	dat zijn E 
B: 	ok dit zijn die compact 
A: 	ja dat zijn zestien 
A: 	dit zijn die heel compact 
