B: 	ah 
B: 	nou ja van al ander kop zeggen maar er zijn er niet zo veel die staan op een soort van plateautje 
B: 	en deze die staan op een soort van driehoekplateau met een twist omhoog 
A: 	een wokkel ha ja 
B: 	een soort wokkel inderdaad 
A: 	blok bovenop toevallig 
B: 	een blok ja een blok 
A: 	ja 
B: 	zitten er rechts één en er zitten er één in denken ik 
A: 	ja 
B: 	en nog een ander uitsteeksel 
A: 	okee 
B: 	ik denken dat je hem wel weten 
A: 	ik gaan voor vijfteen 
A: 	okee 
A: 	standaard 
A: 	driehoek 
B: 	ja 
A: 	wokkel omhoog 
B: 	een wokkel omhoog ja 
A: 	blok bovenop 
B: 	ik ja ik gaan voor d 
B: 	nou dit zijn diegene die op een twisterpootje staan 
A: 	met het driehoek 
B: 	een driehoekig 
B: 	ja 
A: 	zoeken ah nummer acht 
A: 	deze zijn met die wokkel standaard met dat driehoek eronder en blok bovenop 
B: 	yes 
B: 	dat zijn o 
B: 	het zijn grappig hoe dit werken vinden ik wel 
A: 	ja 
B: 	twisterkopje met driehoek beneden 
B: 	ja 
A: 	ah ja nummer zeven 
A: 	wokkelvormig Standaard met driehoek 
B: 	dat zijn k 
