B: 	het zijn er zeggen maar één met een balk bovenop voor de rest zitten er niks bovenop 
A: 	ja 
B: 	zeggen maar liggen balk en link zitten nog ja een gek vorm een soort van pilonvorm half 
A: 	gewoon een raket het zijn een spaceshuttle 
B: 	ja zoeits 
B: 	en rechts zitten ja ook nog een soort van staaf met een driehoek zijn het denken ik waar die op staat 
A: 	ja ja en daarachter zitten precies dezelfde vorm die je niet echt zien als aan de ander kant toch 
B: 	ja 
B: 	ja links en rechts zijn wel anders zeggen maar dat wel 
A: 	nou 
B: 	bovenop liggen alleen zeg maar liggend soort van chocoladereep 
A: 	ja liggen staaf jajaja ok achten 
A: 	deze hebben die spaceshuttle dat liggen blokje erop zegmaar en die gek vormp 
B: 	dat gek vormp ja soort van ja dat balk er zo wat er op liggen eigenlijk 
A: 	en dat 
A: 	ja 
B: 	ja zijn E 
B: 	die met dat liggen balk bovenin en dan die spaceshuttle 
A: 	ja 
A: 	één 
A: 	de spaceshuttle 
B: 	zoeken 
B: 	met dat blok bovenop dat liggen E 
B: 	met die spaceshuttle dat blok liggen bovenop 
A: 	zestien 
A: 	de spaceshuttle 
B: 	ja met dat liggen blok O 
