B: 	dit zijn ook wel een grappig figuur 
B: 	aan de linkerkant staan twee dezelfde soort torent wat jij die vier blok op elkaar noemen 
A: 	ja een soort verrekijker 
B: 	ja ja en daarbovenop een antenne en aan de rechterkant een plat vierkant 
A: 	ja vinden ik wel 
A: 	ja dat zijn nummer twee 
A: 	ik hebben nu die weer met die verrekijkert vierkant aan de zijkant en een antenne bovenop 
B: 	ja dat zijn G 
B: 	dit zijn zeggen maar die twee verrekijkert met de antenne en het plat vierkant 
A: 	ja nummer negen 
A: 	ik hebben die met twee verrekijker vierkant aan de zijkant Antenne erbovenop 
B: 	d 
B: 	ik hebben met die twee verrekijker en die antenne en dat vierkant 
A: 	nummer één 
A: 	ik hebben die met verrekijker 
B: 	dat zijn bij mij B 
