B: 	deze hebben zo'n horizontaal balk op zijn kop liggen zullen ik maar zeggen 
B: 	en ja en ver lijken het alsof hij zo'n soort graver van zo'n graafmachine in zijn armp hebben 
B: 	rechts 
B: 	ja 
B: 	het zijn niet een bijzonder ding 
A: 	even denken hoor ja ik zitten even te ja 
B: 	ja echt een horizontaal balk gewoon op op het kop zeggen maar veel niet 
A: 	op het kop 
A: 	ik weten welk je bedoelen maar ik kunnen wachten even 
A: 	ja 
A: 	de en en en hij zijn klein dan het kop het balk 
B: 	en dan hebben 
B: 	ja 
A: 	oké het zijn niet dat ding met ja een soort balk of zo met een met een want er zijn er één die het ook zullen maar hij liggen er echt bovenop het balk zeggen maar 
B: 	ja 
B: 	en hij hebben dan links zo'n armp maar dat zijn wat dikk een beetje cilinderachtig 
A: 	ja 
B: 	en dan 
A: 	en die van klein naar groot worden 
B: 	ja en dan rechts zo'n 
A: 	zeggen maar een toet van een theekan of zo zeggen maar 
B: 	ja ja ja ja 
A: 	ja 
B: 	en rechts dan die heel dun cilinder met zo dat armp er nog aan 
A: 	ja ja 
B: 	ja 
A: 	dan zijn dat nummer acht 
A: 	dit zijn dat kop met dat balk erop 
A: 	dat koffietuitje eraan en aan de linkerkant dat heel smal ronde dinge met 
B: 	ja 
B: 	dat zijn met dat schep ja 
A: 	ja 
B: 	dat zijn E 
B: 	dit zijn weer die met dat theetui met die balk erop 
B: 	en dat schep rechts 
B: 	dus horizontaal balk die op het kop liggen 
B: 	en dan links zo'n 
A: 	ja 
A: 	dat koffietuitje en rechts dat dun cilinder en het schep 
B: 	ja 
B: 	ja 
A: 	dat zijn nummer één 
A: 	het horizontaal balk op het kop het koffietui en het armp 
B: 	ja ik weten welk je ja ja daar dat zijn E 
B: 	dit zijn die met die horizontaal balk met dat koffietuitje en dat dun armp met dat schep 
A: 	koffietuitje waar zijn je 
A: 	oké horizontaal balk armp tui ja nummer zestien 
A: 	het koffietuitje het balk aan de bovenkant en het armp 
B: 	ja 
B: 	dat zijn O 
