A: 	oké dus dat bakkie weer 
A: 	bovenop zitten een soort piramide puntig dinge 
A: 	die staan een beetje aan de achterkant het lijken alsof die hol zijn er zitten schaduw in zeggen maar 
A: 	aan de voorkant zitten een veel vierkantig uittulpsel 
B: 	ja ik denken dat ik hem hebben en aan de linkerkant zitten een punt erin 
A: 	ja zo'n dartpijl 
B: 	ja 
B: 	oké 
B: 	letter J 
B: 	het zijn een bak 
B: 	hij krijgen een kogel 
B: 	en hij hebben een punt op zijn hoofd een best wel scherp soort van piramide 
B: 	en het bak lijken hol 
A: 	ja 
B: 	link krijgen die dus een kogel echt een pijl 
A: 	ja ja 
B: 	een best wel intens 
A: 	ja 
A: 	nummer zes 
A: 	dit zijn die een met dat piramidedinge op de bovenkant die een beetje hol lijken 
A: 	en dat die zo dat pijltje aan de zijkant steken krijgen 
B: 	ja 
B: 	letter E 
B: 	hij worden raken door een kogel en er komen een piramide uit zijn hoofd 
A: 	ja 
A: 	nummer tien 
A: 	dit zijn die raar met dat pijltje wat zo in de zijkant steken en dat driehoek erbovenop 
B: 	de kogel 
A: 	ja 
B: 	ik moeten hem even zoeken G met de driehoek erbovenop 
A: 	en zo'n 
A: 	ja 
B: 	letter G 
B: 	hij krijgen een kogel en hij hebben een hoed op dat op een piramide lijken 
A: 	yes 
A: 	nummer tien 
