B: 	deze hebben aan de linkerkant twee van die kubus die steeds groot worden 
B: 	en aan de voorkant een vierkant schijf of ja geen schijf dan maar 
A: 	ja 
A: 	ja 
B: 	en aan de bovenkant een soort 
A: 	paddenstoel of zo 
B: 	ja 
B: 	ja vinden ik een goed omschrijving 
A: 	ja 
A: 	nummer twee zijn dat 
A: 	ik hebben nu links twee keer die uitdijen kubus zeggen maar en bovenop die zeggen maar paddenstoel 
A: 	en vooraan die dat vierkant ertegenaan plakken 
B: 	ja 
B: 	dat zijn bij mij G 
B: 	deze zijn met de paddenstoel bovenop 
B: 	en de twee vierkant ding aan de linkerkant 
A: 	ja ik hebben hem 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	deze hebben aan de linkerkant die twee uitdijen kubus en bovenop dat paddenstoel en vooraan dat geplakken vierkant 
B: 	ja 
B: 	dat zijn bij mij d 
B: 	dit zijn met die uitdijen kubus aan de linkerkant twee keer en de paddenstoel bovenop 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer één 
A: 	dit zijn die een met links die twee uitdijen kubus en bovenop dat paddenstoel 
B: 	ja 
B: 	dat zijn bij mij B 
