A: 	ik hebben er nu één met zo'n soort staaf met twee bollet aan de zijkant erdoorheen 
B: 	ja 
A: 	en ja het lijken een soort zon ja een soort scherm of zo erachter of ik weten niet hoe je dat zien maar zo'n soort plaat erachter met een 
B: 	denken ik 
B: 	ja een plaat en dan daar daar steken ook nog iets uit zeggen maar 
A: 	ja 
B: 	oké dat zijn dan bij mij dan zijn dat K 
B: 	ik hebben nou weer die een met dan hebben je die twee uitsteeksel zeggen maar met een bolle erop weer 
B: 	en dan de achterkant hebben je weer ja wat jij net noemen een zonnescherm zeggen maar of een zonnepaneel zeggen maar 
A: 	ja 
A: 	en die uitsteeksel met zo'n bolle aan de zijkant ja 
B: 	met nog 
B: 	ja 
A: 	negen zijn dat bij mij 
A: 	dit zijn met twee van die staf naar buiten en die bollet erop en een soort zonnescherm noemen ik het net 
B: 	oké ja dat zijn bij mij zijn dat F 
A: 	erachter 
B: 	nou hebben we weer die een met die zeggen maar dat die zonnepaneel en dan die twee uitsteeksel met die bollet aan de aan de uiteinde 
A: 	ja even kijken ik weten welk je bedoelen daar 
A: 	waar zitten die ? ja 
A: 	even kijken nummer drie zijn dat bij mij 
A: 	ik hebben nu die een met die met dat zonnescherm erachter noemen ik net en die twee uitstekend ding met die bollet eraan 
B: 	weer met dat zonnescherm zeggen maar en dan die twee uitstekend arm met die bollet 
A: 	ja ik zijn even aan het zoeken 
A: 	waar waar ? daar 
A: 	ja 
A: 	een beetje ja 
