B: 	ja deze vinden ik echt de veel vag van allemaal 
B: 	het zijn één ja een kop met een lang staaf op op ja bovenop 
B: 	soort goudstaaf en dan een raar half half half gietertjeachtig dinge en van de voorkant nog zo'n ding met zo'n 
A: 	ja met die ja ik weten welk je bedoelen waar staan die nou joh 
A: 	hier 
A: 	ja en hij hebben een soort 
A: 	ja als je een beetje zo'n Paaseilandgezicht bekijken zeggen maar zullen die neus aan de linkerkant zitten 
B: 	ja 
B: 	ja 
B: 	inderdaad 
A: 	en dan hebben die een soort van niet een Mohawk zo maar zo 
B: 	ja 
B: 	ja 
A: 	ja ja ja ja ik weten welk je bedoelen 
B: 	ja precies 
A: 	dat zijn acht 
A: 	dit zijn die Paaseilanden met die raar oorbel met die neus aan de linkerkant 
B: 	ja ja dat ik hebben hem 
A: 	met die ja met die raar zijwaarts ding 
B: 	ja 
B: 	dat zijn E 
B: 	dit zijn die wat hebben we hier ook weer voor bedenken 
B: 	met die met dat dat dat Paaseilandbeeld 
B: 	die 
A: 	ja met die raar neus en die oorbel 
B: 	ja 
A: 	waar staan die ? waar staan die ? waar staan die 
B: 	bij mij staan die boven ik weten niet of dat helpen 
A: 	ja 
A: 	ja bij mij ook 
A: 	nummer één 
A: 	dit zijn het Paaseilandbeeld met die raar coupe 
B: 	ja 
B: 	ja dat zijn E 
B: 	dit zijn het Paaseiland 
A: 	waar staan die 
A: 	nummer zestien 
A: 	Paas ik bedoelen 
B: 	ja die staan bij mij ook links onderin 
A: 	link onderin Paaseiland 
B: 	O 
B: 	O 
