A: 	deze vinden ik een heel apart vorm 
A: 	deze hebben een soort van piramide bovenop 
A: 	en dan zitten er ja rechts zitten een soort van afgekapte piramide 
A: 	en linksonder zitten een soort van rond 
A: 	en aan de linkerkant zitten één ja pipetachtig iets 
B: 	ja 
B: 	dat zijn J 
B: 	dit zijn weer die met de verschillend tint piramide daarbovenop 
A: 	die met de soort van pipet aan de 
B: 	ja 
A: 	ja dat zijn zes 
B: 	zijn we niet klaar 
B: 	ik zijn het beu 
A: 	dit zijn die die piramide weer bovenop in die verschillend tint en dan dat pipet weer aan de zijkant 
B: 	ja dat zijn E 
B: 	dit zijn weer die met de piramide erop en de pipetje link 
A: 	ja dat zijn tien 
B: 	zijn we nog niet klaar 
A: 	dit zijn weer die met die piramide bovenop en die pipet aan de zijkant 
B: 	ja dus G 
B: 	dit zijn de piramide bovenop en de pipet links en rondje onderaan 
A: 	even zoeken zoeken zoeken 
A: 	ja dat zijn tien 
