B: 	ok het zijn er één en aan de bovenkant zitten twee heel klein blok en voor de rest zitten er staan er eigenlijk niks op 
B: 	kunnen er eigenlijk maar één zijn die blok zijn even groot 
A: 	ja en dan zijn zijn er zitten hij door een vierkant heen 
B: 	ja hij hebben zeggen maar soort van vierkant aan 
A: 	ja ok zes 
B: 	dat ja 
A: 	deze zijn hebben een vierkant blok door zich heen ? en die twee blok er op zegmaar 
A: 	alleen die twee blok en dan zo'n rond cilinder ook die er uit opsteken en een vierkant haak 
B: 	zegmaar die twin tower erop bij wijze van spreken met zo'n die iet die zegmaar een vierkant ding aanheefn C 
A: 	ja 
A: 	ja ja ja 
B: 	hij hebben zegmaar weer twee blok bovenop en hij hebben zo'n vierkantje aan bij wijze van spreken 
A: 	ja dertien 
A: 	de kom met het tutuu en die twin towers er op 
B: 	even kijken J 
B: 	met die tutu en die Twin towers 
A: 	negen 
A: 	die met dat vierkantje er doorheen zegmaar en dan die twee torent er op 
B: 	die tutu 
A: 	ja 
B: 	N 
