A: 	hebben jij het rood vierkant 
B: 	ja ik hebben het vierkantje 
A: 	oké 
B: 	even kijken 
B: 	aan de linkerkant zitten een soort van potlooduitein 
B: 	rechtsboven zijn een ja kaarsvlammetje lijken het wel op 
B: 	aan de achterkant zitten een half cirkel die je nog net zien 
B: 	weten je welk ik bedoelen 
A: 	ja zijn dat bij dat ding wat daarbovenop zitten lopen dat een beetje ovaal en dan zo dunn naar boven 
B: 	ja 
A: 	oké dan weten ik welk het zijn denken ik 
B: 	aan de onderkant zitten een soort van poot die langwerpig zijn zo 
A: 	ja zo'n 
B: 	ja 
A: 	ja oké 
A: 	ik moeten nu het nummer zeggen toch 
B: 	ja 
A: 	en dan op geel 
A: 	oké nummer dertien 
A: 	ja dit vinden ik een beetje lijken op een steelpannetje met een lepel erin 
A: 	maar dat zijn dat een die we ook al hebben hebben met een beetje die kegel zo er en dat rond erachter 
B: 	ja ik weten het 
A: 	en daar waar die op staat en dat dinge aan de zijkant 
B: 	ja 
B: 	dat zijn de O 
B: 	dit zijn dat steelpannetjeten 
A: 	ja ik zien hem 
B: 	wat jij net noemen 
A: 	nummer acht 
A: 	dit zijn dat steelpannetjeten 
B: 	ja C 
B: 	steelpannetje 
A: 	ja nummer zeven 
A: 	het steelpannetje 
B: 	ja C 
B: 	oké 
A: 	ik zijn benieuwd 
