B: 	oké 
B: 	zijn een beetje robotachtig hij hebben van die aan de linkerkant zitten er weer wat soort van verrekijker wat jij net noemen 
B: 	en aan de voorkant zitten een vierkant plateau 
A: 	ja 
B: 	en bovenop 
A: 	en een soort paddenstoelachtig iets erbovenop 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	oké dan zijn het twee 
A: 	dit zijn degeen met twee verrekijker en een soort paddenstoel op zijn hoofd 
A: 	en een soort van scherm aan de zijkant 
B: 	G 
B: 	dit zijn de robotachtig twee verrekijker link voorkant de plaat vierkantje en bovenop die paddenstoel 
A: 	paddenstoel 
B: 	ja 
A: 	ja dat zijn negen 
A: 	dit zijn de verrekijker met de paddenstoel erbovenop 
B: 	d 
B: 	dit zijn de twee verrekijker links met paddenstoel bovenop 
A: 	ja dat zijn één 
A: 	dit zijn de verrekijker met de paddenstoel erbovenop 
B: 	ja B 
