A: 	oké nou ik zien dit een beetje als een soort van neus en dan zitten zo'n ja rechthoekig staaf doorheen 
B: 	die 
A: 	dus aan de voorkant 
B: 	ja 
A: 	en dan aan het einde van die staaf zitten een een rond 
B: 	ja 
B: 	en hij hebben ook nog een een soort lepeltje in het ja oké 
A: 	ja ja precies die 
B: 	dan zijn het F 
B: 	dit zijn er één met een neus en dan zo'n spijker erdoorheen en een tuu 
A: 	ja 
A: 	ik weten wat je bedoelen even kijken 
A: 	ja dat zijn nummer vijf 
A: 	dat zijn die een neus met die staaf erdoorheen en zo'n raar rond erdoor ja 
B: 	ja 
B: 	dinge op de 
B: 	dat zijn A 
B: 	dit zijn weer die een met die spijker door de neus 
A: 	ah dat zijn nummer vijf 
A: 	dat zijn die neus met dat ding erdoorheen 
B: 	ja 
B: 	moeten ik het even goed zeggen dat zijn H 
B: 	dit zijn met dat spijker door de neus 
A: 	dat zijn nummer vijftien 
