B: 	deze hebben een soort van plateau in het midden of er doorheen maar niet ja en dan in het midden en dan twee klein staafjes bovenop 
B: 	iets veel aan de rechterkant 
B: 	ook iets veel aan de rechterkant een slurf die naar het plateau gaan 
B: 	en aan de linkerkant zo'n zo'n armp wat zo gaan 
A: 	ja 
A: 	dat zijn nummer elf 
A: 	dit zijn zitten ook een plateau in het beker 
A: 	met twee staaf wat uit het beker komen 
A: 	met een soort aan de linkerzijde een armp 
A: 	en recht voor komen ook een soort staaf naar voren 
B: 	en twee balk bovenop zitten een antenne 
A: 	twee balk bovenop 
A: 	één aan de linkerzijde en hij zitten een soort in een soort houdert zitten hij 
B: 	ja 
B: 	ja 
B: 	dan zijn het f 
B: 	dit zijn het plateau door het midden 
B: 	twee antennet bovenop 
B: 	het armp aan de linkerkant en de slurf aan de rechterkant die eruit steken en op de plateau terechtkomen 
A: 	ja dat zijn nummer negen 
A: 	dit zijn een houder langs het beker heen 
A: 	met de twee staaf uit het beker 
A: 	met een armp links en met een soort slurf rechts boven wat eruit komen 
A: 	dus hij zitten zeggen maar in het houder dat beker 
B: 	ja die een 
B: 	gewoon het houder zullen ik maar zeggen 
B: 	een tafel met twee poot 
B: 	soort van 
A: 	nee dit hebben niet twee poot 
A: 	dus het hebben zeggen maar uit het bekert steken twee soort rechthoek uit 
B: 	antennedinget 
A: 	ja antennedinget 
B: 	ja 
B: 	ja 
A: 	en dan hebben het zeggen maar een soort slurfje rechtsboven en het hebben een soort tetris vorm links boven en het zitten ook in een houder 
B: 	ja 
B: 	okee 
A: 	halverwege het beker dus 
B: 	ja dat zijn k 
B: 	even kijken het plateau door het midden 
B: 	twee antennet bovenop rechts een slurf en links een tetrisvormpje 
A: 	ja nummer veertien 
A: 	bekert zitten in het houder met de twee blok uit het beker 
A: 	slurf aan de rechterzijde ja tetrisdingetje link 
B: 	ja 
B: 	ja k 
