B: 	deze hebben twee voelsprieten bovenop 
A: 	ja dat zijn 
B: 	en een vierkant vlak erdoorheen 
A: 	dat zijn veertien 
A: 	elf 
A: 	het vierkant vlak zitten er dwars doorheen 
B: 	met de spriet bovenop 
A: 	ja twee spriet bovenop 
B: 	p 
B: 	p 
B: 	het spriet bovenop en het rechtervlak door het midden 
A: 	ja drie 
A: 	twee klein voelsprietjes een vlak erdoorheen 
B: 	g 
B: 	vlak door het midden en twee spriet bovenop 
A: 	zeven 
A: 	een vierkant vlak er recht doorheen en twee spriet bovenop 
B: 	d 
