B: 	oeh deze zijn deze zijn wat ingewikkeld 
A: 	okee 
B: 	hier zitten een ongeveer op het laag kwart zitten een een plat een plat vierkant die gaan gewoon echt door het kop heen 
A: 	okee 
B: 	er zitten een soort slurf aan de voorkant 
A: 	ja soort glijbaanachtig iets 
B: 	ja precies 
A: 	ja 
B: 	twee ding steken steken erbovenuit als een soort konijnenoor 
A: 	ja 
A: 	ja 
B: 	en dan nog een hoeken handvat 
A: 	ja een soort pijp 
B: 	ja 
A: 	ja links okee ja nee dan weten ik het acht 
A: 	dat zijn acht 
A: 	dit zijn met het plateau aan de onderkant en de met die glijbaan zo en die pijp aan de linkerkant en die twee dinge die daaruit steken bovenin 
B: 	ja 
B: 	ja dat zijn k 
A: 	okee 
A: 	okee 
B: 	deze hebben de de glijbaan en de de oort Erboven 
A: 	glijbaan oor 
B: 	met dat met die 
A: 	ja met die plateau er aan de onderkant 
B: 	ja 
A: 	vijfteen 
A: 	deze hebben de glijbaan en het plateau dat aan de onderkant zitten die twee uitsteeksel en die pijp 
B: 	waar zijn die waar zijn die waar zijn die 
B: 	met die twee oort Erboven 
A: 	ja 
B: 	ja dat zijn b 
B: 	dit zijn de de glijbaan en de konijnenoor 
A: 	glijbaan en konijnenoort even kijken hoor 
B: 	met het plateau erdoorheen 
A: 	zestien 
B: 	ja 
A: 	dit zijn de glijbaan de pijp en de en het en het vlak dat erdoorheen zitten 
B: 	yes dat zijn l 
