B: 	het ja het doen mij een ja ja het doen mij denken aan een soort olifan maar dan weten ik natuurlijk niet of het jou daaraan doen denken 
A: 	omdat twee 
B: 	nee hij hebben uit ja echt zo'n slurf aan de voorkant 
A: 	ja 
B: 	en dan lijken het net alsof die zo zeggen maar een armp op houden 
B: 	en dan bovenop staan nog twee heel klein cilindertjes 
A: 	bovenop twee heel klein cilindertjes 
B: 	naast elkaar 
A: 	ja en zijn zitten er ook een vierkant ding onder beetje nou niet helemaal onder maar een beetje 
B: 	ja er zitten een soort vierkant ding 
B: 	ja 
A: 	ja erdoorheen ja oké dan weten ik welk het zijn 
A: 	het zijn zes 
A: 	even kijken dit zijn die olifant met die slurf zo en rechts hebben die dat 
A: 	ja die tetrisblok zeggen maar 
B: 	zo'n armp zo zullen je het zo kunnen zien 
A: 	en twee 
A: 	ja precies 
A: 	en twee spriet 
B: 	en 
B: 	ja ja dat zijn C 
A: 	en hij staan helemaal boven 
B: 	dit zijn die met aan de voorkant een slurf 
B: 	boven op het hoofd twee ja cilindertjes of rechthoek 
A: 	ja 
A: 	dertien 
B: 	en het armp 
A: 	de olifant 
B: 	de olifant even zeggen maar met de arm zo 
A: 	ja met de arm de olifant met de arm 
B: 	J 
B: 	dit zijn de olifant met het armp zo 
A: 	ja 
A: 	even kijken 
B: 	en het vierkant plateau erdoorheen 
A: 	waar zijn die 
A: 	huh ? ik zien hem niet veel 
B: 	bij mij staan die heel erg rechts 
A: 	ja 
A: 	ja dat kloppen 
A: 	negen 
B: 	nou toevallig 
A: 	olifan met armp 
B: 	olifan met een armp 
A: 	zitten bij mij midden boven 
B: 	ja bij mij ook ja 
B: 	dat zijn N 
