B: 	ik inzien nu een dinge 
B: 	en dan moeten ik uitleggen aan jou toch 
A: 	ja 
B: 	okee er zitten een half cirkel Linksboven 
B: 	en een antenne rechtsboven 
B: 	en hij hebben een soort van neus aan zijn linkerkant 
A: 	wat antenne half cirkel Linksboven 
B: 	ja 
A: 	daar 
A: 	ja vijf 
B: 	weten je het 
A: 	ja hij hebben een uitsteeksel links een breed vlak onder en die half cirkel daarachter en een voelspriet rechtsboven 
A: 	dus voelspriet rechtsboven half cirkel daarachter en zeshoekig handvat links 
B: 	a 
B: 	hey 
A: 	al twee 
A: 	zo 
B: 	schotel Linksboven 
B: 	een neus links en een antenne rechts 
A: 	ja zestien 
A: 	dit zijn de voelspriet rechtsboven en een half cirkel daarachter en een zeshoekig handvat link 
B: 	p 
B: 	schotel Linksboven en een antenne rechts en het handvat links 
A: 	ja acht 
A: 	antenne rechts half cirkel daarachter links handvat 
B: 	g 
