A: 	mooi 
A: 	ik hebben de koffiebeker met bovenop het groot deel van een bol zichtbaar 
A: 	aan de voorkant zien je een vierkant staaf rechtop staan die ook aan de onderkant komen 
B: 	nee ja 
B: 	en aan de zijkant hebben die dan twee uitsteeksel 
A: 	in ieder geval aan de linkerkant zien je een staaf die ook met een boch 
A: 	en rechts komen die wat niet helemaal op het plaat veel eruit 
B: 	ja 
A: 	maar dat zijn er maar één denken ik 
B: 	dat zijn duidelijk ja 
B: 	dat zijn letter D 
B: 	goed de volgen zijn weer een koffiekopje met een een pingpongballet 
B: 	net boven in het kop 
B: 	daarvoor staan een een balk 
B: 	ik hebben het idee dat we die al hebben hebben 
A: 	ja 
A: 	we gaan alles zes keer doen dus 
B: 	ja dat kunnen wel een balk en daaraan zitten twee uitsteeksel en het een uitsteeksel rechts dat zien je dus niet zo niet helemaal en die ander zien je wel helemaal 
A: 	ja 
A: 	en er zitten een bocht dan in 
B: 	ja een bocht 
A: 	ja 
A: 	dat zijn nummer vijftien 
A: 	het koffiekopje met ei bovenop 
A: 	en rechtop 
B: 	met die twee buisjes 
A: 	ja 
A: 	en de staaf aan de voorkant 
B: 	ja dat zijn letter L 
B: 	koffiekopje met een ei een balk ervoor en twee stang als uitsteeksel aan de zijkant 
A: 	ei aan de bovenkant 
B: 	ja 
A: 	ja 
A: 	nummer zes 
A: 	ei bovenop 
A: 	dinge aan de zijkant staaf ervoor 
B: 	met die balk 
A: 	ja 
B: 	ja 
B: 	dat zijn letter J 
B: 	dat koffiekopje met een ei erin aan de bovenkant die balk ervoor en die twee uitsteeksel aan de zijkant 
A: 	check 
A: 	nummer drie 
