B: 	onderaan zitten een draaien staaf met daaronder een driehoekig platform 
A: 	ja weten ik 
A: 	tien 
A: 	ik hebben die een die met dat raar met dat raar voetstuk op die driehoek staan 
B: 	het raar voetstuk op die driehoek 
A: 	die zeggen maar ergens op staat 
A: 	dus je hebben zo'n driehoek op de grond dan hebben je soort buis en daar staan het rond ding pas op 
B: 	een driehoek ja ja ja ja sorry k 
B: 	ik hebben dat twisen gedraaide dinge aan de onderkant met 
A: 	op dat driehoek 
B: 	wat zeggen je 
A: 	op die driehoek 
B: 	ja op de driehoek ja kloppen 
A: 	zeven 
A: 	ik hebben die een op dat voetstuk die dat twistding en dan op dat driehoek 
B: 	ja i 
B: 	ik hebben de dat dat twi twisten ding op een driehoek 
A: 	ja 
A: 	acht 
A: 	de twistspiraal met de driehoek aan de onderkant 
B: 	ja 
B: 	i 
