B: 	deze hebben een soort van plateau boven het midden dit zijn een beetje raar en die hebben dan twee poot 
A: 	ja 
B: 	links en rechts 
B: 	en in het midden zitten , van het plateau zegmaar , zitten ja een soort piramide op zijn kop 
A: 	ja 
A: 	en aan de linkerkant zijn er een klein haak lijken het 
B: 	ja ja 
A: 	ja 
A: 	dat zijn vier 
A: 	ja deze zijn met dat uitsteeksel met die twee handvaat zo 
B: 	ja 
A: 	en dat dat 
B: 	piramide op zijn kop ja 
A: 	ja dat komme dat je zo , lijken wel alsof je dat zo kunnen kiepen 
B: 	ja 
A: 	met een haak aan de linkerkant nog 
B: 	ja 
B: 	dat zijn L 
A: 	top 
B: 	hoe noemen we deze ook alweer ? deze hebben zo'n vierkant boven het midden en dan twee stok aan 
B: 	links en rechts en een piramide op zijn kop er bovenop 
B: 	en een klein haak Linksboven 
B: 	niet veel hoe we die noemen 
A: 	even kijken piramide op de kop 
B: 	zo ja 
A: 	ah ja met dat met dat haak link 
B: 	ja 
A: 	die je zo kunnen kiepen zo 
B: 	ja dat zijn hem , ja 
A: 	ja ja ja 
A: 	met die twee handvaat zo 
B: 	ja 
A: 	ja nummer zeven 
A: 	deze zijn met die handvat , die uh , ja hoe noemen we die , die 
B: 	ja 
A: 	en het klein haak links en de 
B: 	ja 
B: 	piramide op zijn kop 
A: 	ja de piramide op zijn kop 
B: 	ja 
B: 	I 
A: 	dat zijn goed ja 
B: 	dit zijn dat dienbladen die je om kunnen gooien 
B: 	ho 
B: 	en en een piramide op zijn kop 
A: 	ah ja we zijn misschien weer aan een nieuw ronde bezig 
A: 	met die twee handvaat zo 
B: 	ja 
B: 	ja ja ja 
A: 	ja 
A: 	nummer twaalf 
A: 	deze zijn met die handvat die je zo mooi kunnen kiepen 
B: 	ja 
A: 	handvaat zo 
B: 	ik zoeken hem 
A: 	en het haak link 
B: 	ja 
B: 	L 
